Code,Event Name,Title,Composer,Arranger,Publisher [Collection],Grade,Specification
933-1-32035,Tenor-Bass Chorus,The Rail Worker,Winebrenner,,BriLee Music [Two Working Songs for Male Chorus],1,(TB) (opt divisi) (a cappella)
933-3-32036,Tenor-Bass Chorus,Now Let Me Fly,Traditional Spiritual,Johnson,Choristers Guild,3,(TBB) (accomp)
933-4-34259,Tenor-Bass Chorus,Ubuntu,Jones,,"Carl Fischer, Inc.",4,(TTBB) (percussion OPTIONAL) (accomp)
933-3-33254,Tenor-Bass Chorus,O Magnum Mysterium,Ramos,,BriLee Music,3,(TTB) (a cappella)
933-3-33253,Tenor-Bass Chorus,El Dorado,Ramos,,Alliance Music Publications,3,(TTB) (accomp)
933-2-21933,Tenor-Bass Chorus,Sansa Kroma,Anon. or Trad.,Crocker,"Hal Leonard Music, Inc. [Songs for Tenor-Bass Chorus]",2,(TTB or TTBB) (percussion REQUIRED) (a cappella)
933-1-21934,Tenor-Bass Chorus,As The Holly Groweth Green,Anon. or Trad.,Crocker/Leavitt,"Hal Leonard Music, Inc. [A Cappella Songs for Tenor Bass Chorus]",1,(TB) (a cappella)
933-1-21935,Tenor-Bass Chorus,Red River Valley,Anon. or Trad.,Crocker/Leavitt,"Hal Leonard Music, Inc. [A Cappella Songs for Tenor Bass Chorus]",1,(TB or TTB) (a cappella)
933-1-21936,Tenor-Bass Chorus,Sons Of Art,Anon. or Trad.,Crocker/Leavitt,"Hal Leonard Music, Inc. [A Cappella Songs for Tenor Bass Chorus]",1,(TB) (a cappella)
933-1-21941,Tenor-Bass Chorus,Susanni,Jode,Appleby/Fowler,Oxford University Press [Firsts and Seconds],1,(two-part) (opt accomp) (a cappella)
933-1-21944,Tenor-Bass Chorus,Tallis's Canon,Tallis,Appleby/Fowler,Oxford University Press [Firsts and Seconds],1,(two-part) (a cappella)
933-1-21949,Tenor-Bass Chorus,A Long Time Ago,Anon. or Trad.,Follett,"Pro-Art Publications [Library of Song for Male Voices, Book 1];Alfred Music Company, Inc. [Digital Download ONLY]",1,(TB) (accomp)
933-1-21950,Tenor-Bass Chorus,Babylon's Falling,Anon. or Trad.,Follett,"Pro-Art Publications [Library of Song for Male Voices, Book 1];Alfred Music Company, Inc. [Digital Download ONLY]",1,(TB divisi) (accomp)
933-1-21951,Tenor-Bass Chorus,Chester,Anon. or Trad.,Follett,"Pro-Art Publications [Library of Song for Male Voices, Book 2]",1,(TBB) (accomp)
933-1-21952,Tenor-Bass Chorus,"Come, All Ye Shepherds",Anon. or Trad.,Follett,"Pro-Art Publications [Library of Song for Male Voices, Book 1];Alfred Music Company, Inc. [Digital Download ONLY]",1,(TB) (accomp)
933-1-21953,Tenor-Bass Chorus,Donkey Riding,Anon. or Trad.,Follett,"Pro-Art Publications [Library of Song for Male Voices, Book 1];Alfred Music Company, Inc. [Digital Download ONLY]",1,(TB) (accomp)
933-1-21954,Tenor-Bass Chorus,Down The River,Anon. or Trad.,Green,Pro-Art Publications;Cambiata Press,1,(CCB) (accomp)
933-1-21955,Tenor-Bass Chorus,Early One Morning,Anon. or Trad.,Follett,"Pro-Art Publications [Library of Song for Male Voices, Book 1];Alfred Music Company, Inc. [Digital Download ONLY]",1,(TB) (accomp)
933-1-21956,Tenor-Bass Chorus,Eight Bells,Anon. or Trad.,Follett,"Pro-Art Publications [Library of Song for Male Voices, Book 1];Alfred Music Company, Inc. [Digital Download ONLY]",1,(TB) (sing two verses) (accomp)
