Code,Event Name,Title,Composer,Arranger,Publisher [Collection],Grade,Specification
172-3-34271,Tenor-Bass Small Ensemble,In Dulci Jubilo,Praetorius,Leck,"Hal Leonard Music, Inc.",3,(two-part)
172-3-34269,Tenor-Bass Small Ensemble,If I Can Sing,Beery,,"Alfred Music Company, Inc.",3,(TTB)
172-3-34270,Tenor-Bass Small Ensemble,Kye Kye Kule,Traditional West African,Gilpin,"Alfred Music Company, Inc.",3,(TB) (percussion)
172-3-34267,Tenor-Bass Small Ensemble,Omnia Vincit Amor,Trotta,,BriLee Music,3,(TB)
172-3-34268,Tenor-Bass Small Ensemble,Abendlied,Mendelssohn,Robinson,"Alfred Music Company, Inc.",3,(two-part)
172-2-34265,Tenor-Bass Small Ensemble,Lux Aeterna,Winebrenner,,BriLee Music,2,(TTB)
172-2-34266,Tenor-Bass Small Ensemble,O Magnum Mysterium,Ramos,,BriLee Music,2,(TTB)
172-2-34263,Tenor-Bass Small Ensemble,Puer Natus,Da Rold,,Alliance Music Publications,2,(TTB)
172-2-34264,Tenor-Bass Small Ensemble,Benedicamus Domino,Juneau,,"Hal Leonard Music, Inc.",2,(TB) (divisi)
172-1-34261,Tenor-Bass Small Ensemble,Regnum Mundi,Handl,Crowell,Pavane Publishing-Intrada Music Group,1,(TTBB)
172-1-34262,Tenor-Bass Small Ensemble,Beati Mortui,Mendelssohn,Weber,Alliance Music Publications,1,(TTBB)
172-1-34260,Tenor-Bass Small Ensemble,The Glendy Burk,Foster,Hayes,"Alfred Music Company, Inc.",1,(TTB)
172-1-34258,Tenor-Bass Small Ensemble,Ave Generosa,Gjeilo,,Walton Music Corporation,1,(TTBB)
172-1-34256,Tenor-Bass Small Ensemble,"Bona Sera, Come Stai Core Mio",Scandello,"Leininger, ed.",Alliance Music Publications,1,(TTBB)
172-1-34257,Tenor-Bass Small Ensemble,Dominus Vobiscum,Narverud,,"Carl Fischer, Inc.",1,(TBB)
172-2-22116,Tenor-Bass Small Ensemble,Aura Lee,Anon. or Trad.,Hicks,"The Society for the Preservation and Encouragement of Barber Shop Quartet Singing in America, Inc. [Young Men in Harmony]",2,(TTBB)
172-2-22117,Tenor-Bass Small Ensemble,"Goodnight, Ladies",Anon. or Trad.,Hicks,"The Society for the Preservation and Encouragement of Barber Shop Quartet Singing in America, Inc. [Young Men in Harmony]",2,(TTBB)
172-2-22118,Tenor-Bass Small Ensemble,Honey-Little 'Lize Medley,Anon. or Trad.,Hicks,"The Society for the Preservation and Encouragement of Barber Shop Quartet Singing in America, Inc. [Young Men in Harmony]",2,(TTBB)
172-2-22119,Tenor-Bass Small Ensemble,In the Good Old Summertime,Anon. or Trad.,Hicks,"The Society for the Preservation and Encouragement of Barber Shop Quartet Singing in America, Inc. [Young Men in Harmony]",2,(TTBB)
172-2-22120,Tenor-Bass Small Ensemble,Mandy Lee,Anon. or Trad.,Hicks,"The Society for the Preservation and Encouragement of Barber Shop Quartet Singing in America, Inc. [Young Men in Harmony]",2,(TTBB)
172-2-22121,Tenor-Bass Small Ensemble,My Wild Irish Rose,Anon. or Trad.,Hicks,"The Society for the Preservation and Encouragement of Barber Shop Quartet Singing in America, Inc. [Young Men in Harmony]",2,(TTBB)
172-2-22122,Tenor-Bass Small Ensemble,Shine On Me,Anon. or Trad.,Hicks,"The Society for the Preservation and Encouragement of Barber Shop Quartet Singing in America, Inc. [Young Men in Harmony]",2,(TTBB)
172-2-22123,Tenor-Bass Small Ensemble,The Story of the Rose,Anon. or Trad.,Hicks,"The Society for the Preservation and Encouragement of Barber Shop Quartet Singing in America, Inc. [Young Men in Harmony]",2,(TTBB)
172-2-22124,Tenor-Bass Small Ensemble,"Wait 'Til the Sun Shines, Nellie",Anon. or Trad.,Hicks,"The Society for the Preservation and Encouragement of Barber Shop Quartet Singing in America, Inc. [Young Men in Harmony]",2,(TTBB)
172-1-20544,Tenor-Bass Small Ensemble,In The Shade Of The Old Apple Tree,Alstyne,Rector,"The Society for the Preservation and Encouragement of Barber Shop Quartet Singing in America, Inc.",1,(TTBB)
172-1-20545,Tenor-Bass Small Ensemble,"You're the Flower of My Heart, Sweet Adeline",Armstrong,Meyer,"The Society for the Preservation and Encouragement of Barber Shop Quartet Singing in America, Inc.",1,(TTBB)
172-1-20546,Tenor-Bass Small Ensemble,De Animals A-Comin',Anon. or Trad.,Bartholomew,"G. Schirmer, Inc. [Songs of Yale]",1,(TTBB)
172-1-20547,Tenor-Bass Small Ensemble,Shenandoah,Anon. or Trad.,Bartholomew,"G. Schirmer, Inc.",1,(TTBB)
172-1-20549,Tenor-Bass Small Ensemble,Alexander's Ragtime Band,Berlin,Szabo,"Irving Berlin, Inc.;Barbershop Harmony Society",1,(TTBB)
172-1-20550,Tenor-Bass Small Ensemble,God Bless America,Berlin,Lyne,"Irving Berlin, Inc.;Barbershop Harmony Society",1,(TTBB)
172-1-20552,Tenor-Bass Small Ensemble,Five German Folk Songs,Brahms,Pfautsch,Lawson-Gould Music Publishing Company [Five German Folksongs],1,"(TTBB) (sing You, My Only Light)"
172-1-20553,Tenor-Bass Small Ensemble,Rustics And Fishermen,Britten,,"Boosey & Hawkes, Inc.",1,(TTBB)
172-1-20557,Tenor-Bass Small Ensemble,Hush! Somebody's Callin' My Name,Anon. or Trad.,Dennard,Shawnee Press,1,(TTBB)
172-1-20558,Tenor-Bass Small Ensemble,Steal Away,Anon. or Trad.,Dennard,Shawnee Press,1,(TTBB)
172-1-20559,Tenor-Bass Small Ensemble,Three Chansons for Men's Voices,des Pres,,Broude Brothers,1,(TTB) (sing one)
172-1-20560,Tenor-Bass Small Ensemble,Loch Lomond,Anon. or Trad.,Duson,Neil A. Kjos Music Company,1,(TTBB)
172-1-20561,Tenor-Bass Small Ensemble,Thou Didst Delight My Eyes,Finzi,,"Boosey & Hawkes, Inc.",1,(TBB)
172-1-20562,Tenor-Bass Small Ensemble,Coventry Carol,Anon. or Trad.,Gilbert,Oxford University Press,1,(TTBB)
172-1-20564,Tenor-Bass Small Ensemble,Poor Man Lazrus,Hairston,,"Bourne, Co.",1,(TTBB)
172-1-20565,Tenor-Bass Small Ensemble,Hello My Baby,Hicks,Howard-Emerson,"Bourne, Co.",1,(TTBB)
172-1-20566,Tenor-Bass Small Ensemble,"Yes Sir, That's My Baby",Hicks,Donaldson,"Bourne, Co.",1,(TTBB)
172-1-20567,Tenor-Bass Small Ensemble,Aura Lee,Hunter,Parker/Shaw,Lawson-Gould Music Publishing Company,1,(TTBB)
172-1-20569,Tenor-Bass Small Ensemble,Hymn to Music,Markley,,Alliance Music Publications,1,(TTBB)
172-1-20570,Tenor-Bass Small Ensemble,The Morning Star On High,Praetorius,Beveridge,E.C. Schirmer Music Company,1,(TTBB)
172-1-20571,Tenor-Bass Small Ensemble,Do You Fear the Wind?,Sateren,,"Schmitt, Hall & McCreary Company",1,(TTBB)
172-1-20572,Tenor-Bass Small Ensemble,Liebe,Schubert,Haberlen,Mark Foster Music Company;Shawnee Press,1,(TTBB)
172-1-20573,Tenor-Bass Small Ensemble,Nocturnal Serenade (Nachtliches Standchen),Schubert,Stroh-Red,Walton Music Corporation,1,(TTBB)
172-1-20575,Tenor-Bass Small Ensemble,Let Sounds of Joy Be Heard,Schumann,Pfautsch,"Alfred Music Company, Inc.;Lawson-Gould Music Publishing Company",1,(TTBB)
172-1-20578,Tenor-Bass Small Ensemble,"Rise Up, O Men of God!",Walter,Grotenhuis,"National Music Publishers, Inc.",1,(TTBB)
172-1-20579,Tenor-Bass Small Ensemble,The Band Played On,Ward,Hopkins,"The Society for the Preservation and Encouragement of Barber Shop Quartet Singing in America, Inc.",1,(TTBB)
172-1-20580,Tenor-Bass Small Ensemble,When You Wore A Tulip And I Wore A Big Red Rose,Wenrich,Haeger,"United Artists Music;Alfred Music Company, Inc.",1,(TTBB)
172-2-20588,Tenor-Bass Small Ensemble,Abide With Me,Christiansen,Wycisk,Augsburg Fortress Publishers [Selected Songs for Men],2,(TTBB)
172-2-20589,Tenor-Bass Small Ensemble,You Tell Me Your Dream,Daniels,Embury,"The Society for the Preservation and Encouragement of Barber Shop Quartet Singing in America, Inc. [Just Plain Barbershop]",2,(TTBB)
172-2-20595,Tenor-Bass Small Ensemble,While Strolling Through the Park One Day,Anon. or Trad.,Embury,"Belwin, Inc [More Barber Shop Harmony]",2,(TTBB)
172-2-20597,Tenor-Bass Small Ensemble,Il Ballerino,Gastoldi,Petti,"J&W Chester, Ltd. [Chester Book of Madrigals, The, Vol. 5]",2,(TTB) (Italian)
172-2-20607,Tenor-Bass Small Ensemble,Coney Island Baby,Anon. or Trad.,Mainstreeters,"Belwin, Inc [More Barber Shop Harmony]",2,(TTBB)
172-2-20614,Tenor-Bass Small Ensemble,All Through the Night,Spaeth,,"Belwin, Inc [More Barber Shop Harmony]",2,(TTBB)
172-2-20619,Tenor-Bass Small Ensemble,Judgement Day,Anon. or Trad.,Yoder,Neil A. Kjos Music Company [Sing Along With the Barbershop Book],2,(TTBB)
172-2-20582,Tenor-Bass Small Ensemble,Keep in the Middle of the Road,Anon. or Trad.,Bartholomew,"G. Schirmer, Inc. [Songs of Yale]",2,(TTBB)
172-2-20583,Tenor-Bass Small Ensemble,Three Chanteys,Anon. or Trad.,Bartholomew,"G. Schirmer, Inc.",2,(TTBB) (sing one)
172-2-20584,Tenor-Bass Small Ensemble,Two Negro Spirituals,Anon. or Trad.,Bartholomew,"G. Schirmer, Inc.",2,(TTBB) (sing one)
172-2-20585,Tenor-Bass Small Ensemble,Five German Folk Songs,Brahms,Pfatusch,Lawson-Gould Music Publishing Company [Five German Folk Songs],2,(TTBB) (sing I See a Linden Tree OR Young Maiden May I Go With You?)
172-2-20590,Tenor-Bass Small Ensemble,All Ye Who Music Love,Donato,Porterfield,"Hal Leonard Music, Inc.",2,(TTB)
172-2-20591,Tenor-Bass Small Ensemble,Fine Knacks for Ladies,Dowland,Leavitt,"Hal Leonard Music, Inc.",2,(TTB)
172-2-20598,Tenor-Bass Small Ensemble,Praise We Sing to Thee,Haydn,Luvaas,Neil A. Kjos Music Company,2,(TTBB)
172-2-20602,Tenor-Bass Small Ensemble,Go Tell It On The Mountains,Anon. or Trad.,Huntley,"H.T. FitzSimons Company;Hal Leonard Music, Inc.",2,(TTBB)
172-2-20611,Tenor-Bass Small Ensemble,Promised Land,Anon. or Trad.,Richardson,Mark Foster Music Company,2,(TTBB)
172-2-20612,Tenor-Bass Small Ensemble,Two Paths of Virtue,Schubert,McCray,New Music Company,2,(TBB) (English or German)
172-2-20613,Tenor-Bass Small Ensemble,Steal Away,Anon. or Trad.,Siltman,Southern Music Company,2,(TTB or TBB)
