Code,Event Name,Title,Composer,Arranger,Publisher [Collection],Grade,Specification
213-1-11231,Tenor Saxophone Solo,Sonata,Anderson,,Southern Music Company,1,(play two mvts)
213-1-11232,Tenor Saxophone Solo,Gigue,Aubert,Maganini,"Edition Musicus-New York, Inc.",1,
213-1-11238,Tenor Saxophone Solo,Two Bourrees,Bach,Teal,"G. Schirmer, Inc. [Solos for the Tenor Saxophone Player]",1,
213-1-11233,Tenor Saxophone Solo,Adagio and Allegro,Bach,Davis,"Western International Music, Inc.",1,
213-1-11234,Tenor Saxophone Solo,Allegro (from Sonata No. 3 in g minor),Bach,Davis,Brightstar Music Publishers,1,
213-1-11235,Tenor Saxophone Solo,Sonata IV,Bach,Gee,Southern Music Company,1,(play three mvts)
213-1-11237,Tenor Saxophone Solo,Suite No. 1,Bach,Londeix,Lemoine Music Company,1,(play three mvts) (unaccomp)
213-1-11236,Tenor Saxophone Solo,Suite III,Bach,Londeix,Lemoine Music Company,1,(play three mvts) (unaccomp)
213-1-11239,Tenor Saxophone Solo,Flute Sonata in a minor,Bach,Wummer,International Music Company,1,(play two mvts)
213-1-11240,Tenor Saxophone Solo,Berceuse,Barat,Voxman,"Rubank, Inc.",1,
213-1-11241,Tenor Saxophone Solo,Scene and Air (from Luisa di Montfort),Bergson,,"Cundy-Bettoney Company, Inc.",1,
213-1-11242,Tenor Saxophone Solo,Improvisation et Caprice,Bozza,,Alphonse Leduc,1,(unaccomp)
213-1-11243,Tenor Saxophone Solo,Piece Breve,Bozza,,Alphonse Leduc,1,(unaccomp)
213-1-11244,Tenor Saxophone Solo,Sonata for Soprano,Caravan,,Ethos,1,(tenor sax) (play two mvts)
213-1-11245,Tenor Saxophone Solo,Suite in Bb,Corelli,Maganini,"Edition Musicus-New York, Inc.",1,(play five mvts)
213-1-11246,Tenor Saxophone Solo,Syrinx,Debussy,,Jobert,1,(unaccomp)(adjudicator will be viewing an alto sax score)
213-1-11247,Tenor Saxophone Solo,Adagio and Rondo,Devienne,Jaeckel,Southern Music Company,1,
213-1-11248,Tenor Saxophone Solo,Sonata,Di Pasquale,,Southern Music Company,1,(play two mvts) NMR:(play two mvts)
213-1-11249,Tenor Saxophone Solo,Aria and Rondo,Fiocco,Frackenpohl,"Kendor Music, Inc.",1,(play all)
