Code,Event Name,Title,Composer,Arranger,Publisher [Collection],Grade,Specification
501-1-14682,Timpani Solo,Sonata for Timpani,Beck,,Boston Music Company,1,(4 drums)(play two mvts)
501-1-14683,Timpani Solo,Triptych Motif,Beck,,"Kendor Music, Inc.",1,(4 drums)
501-1-14684,Timpani Solo,Four Pieces for Timpani,Bergamo,,"Music for Percussion, Inc.",1,(4 drums)(play two mvts)
501-1-14685,Timpani Solo,Raga No. 1,Cahn,,"Wimbledon Music, Inc.",1,(4 drums) (play all) NMR:(play all)
501-1-14686,Timpani Solo,Eight Pieces,Carter,,Associated Music Publishers Inc.,1,(4 drums) NMR:(play one)
501-2-14687,Timpani Solo,Solo Impression for 3 Timpani,Firth,,"Carl Fischer, Inc.",2,(3 drums)(piano accomp)
501-1-14692,Timpani Solo,Three Settings for Timpani,Houllif,,Stu4,1,(4 drums)
501-2-14695,Timpani Solo,Sonata,Jones,,Hinrichsen Edition,2,(3 drums)(play two mvts)
501-1-14697,Timpani Solo,Fanfare Variations for Solo Timpani,McCormick,,"Kendor Music, Inc.",1,(4 drums)
501-2-14698,Timpani Solo,Three Designs for 3 Timpani,Muczynski,,"G. Schirmer, Inc.",2,(3 drums)(play two mvts)
501-1-14699,Timpani Solo,Air and Dance,Peters,,Southern Music Company,1,(4 drums)
501-1-14703,Timpani Solo,Sonatina for Timpani,Ridout,,"Boosey & Hawkes, Inc.",1,(4 drums)
501-1-14704,Timpani Solo,Rhythmic Chants,Rife,,Southern Music Company,1,(4 drums)
501-1-14706,Timpani Solo,Sonata No. 3,Schinstine,,Southern Music Company,1,(4 drums)
501-2-14708,Timpani Solo,Tympolero,Schinstine,,Southern Music Company,2,(2 drums)(piano accomp)
501-1-14709,Timpani Solo,No. II Funk,Ukena,,Southern Music Company,1,(4 drums)
501-1-14711,Timpani Solo,Variations for Solo Kettledrums,Williams,,"Music for Percussion, Inc.",1,(4 drums)(play Theme & two variations) NMR:(play Theme & two variations)
501-2-14713,Timpani Solo,Alpine Slide,Beck,,"Kendor Music, Inc.",2,(3 drums)
501-2-14714,Timpani Solo,Armenian Days,Brown,,"Belwin, Inc [Timpani: The Solo Collection]",2,(4 drums)
501-2-14715,Timpani Solo,Cajun Dance,Brown,,"Belwin, Inc [Timpani: The Solo Collection]",2,
501-2-14716,Timpani Solo,Dance Piece,Brown,,"Belwin, Inc [Timpani: The Solo Collection]",2,
501-2-14717,Timpani Solo,Fan Fair,Brown,,"Belwin, Inc [Timpani: The Solo Collection]",2,
501-2-14718,Timpani Solo,Fivettes,Brown,,"Belwin, Inc [Timpani: The Solo Collection]",2,
501-2-14719,Timpani Solo,March and Dance,Brown,,"Belwin, Inc [Timpani: The Solo Collection]",2,
501-2-14720,Timpani Solo,Maverick,Brown,,"Belwin, Inc [Timpani: The Solo Collection]",2,
501-2-14721,Timpani Solo,Opus for Timpani,Brown,,"Belwin, Inc [Timpani: The Solo Collection]",2,
501-2-14722,Timpani Solo,Timpani Work,Brown,,"Belwin, Inc [Timpani: The Solo Collection]",2,
501-2-14723,Timpani Solo,Timpanietta,Brown,,"Belwin, Inc [Timpani: The Solo Collection]",2,
501-2-14724,Timpani Solo,A La Maniere de No. 4,Delecluse,,Alphonse Leduc,2,(4 drums)(piano accomp)
501-2-14725,Timpani Solo,Solo Impression for 2 Timpani,Firth,,"Carl Fischer, Inc.",2,(2 drums)(piano accomp)
501-2-14726,Timpani Solo,Seven Solo Dances,Frock,,Southern Music Company,2,(4 drums)(play # 2 or 4)
501-2-14728,Timpani Solo,All State Timpani Solo No. 1,Lepak,,Somers Music Publications,2,(2 drums)
501-2-14730,Timpani Solo,Scherzo for Three Timpani,Peters,,Mitchell Peters,2,(3 drums)
501-2-14731,Timpani Solo,Tribal Serenade,Peters,,Mitchell Peters,2,(4 drums)
501-2-14732,Timpani Solo,Timpani Solos 6-9,Price,,"Music for Percussion, Inc.",2,(2 drums)(play two) (also pub separately)
501-2-14740,Timpani Solo,Sonata No. 1,Schinstine,,Southern Music Company,2,(piano accomp)
501-2-14734,Timpani Solo,A Trivial Trivet,Schinstine,,"Kendor Music, Inc. [Timpani Audition Solos]",2,(4 drums)
501-2-14735,Timpani Solo,Air With Variations,Schinstine,,"Kendor Music, Inc. [Timpani Audition Solos]",2,(4 drums)
501-2-14738,Timpani Solo,In Pursuit of Perfection,Schinstine,,"Kendor Music, Inc. [Timpani Audition Solos]",2,(4 drums)
501-2-14739,Timpani Solo,Indians in Indiana,Schinstine,,"Kendor Music, Inc. [Timpani Audition Solos]",2,(4 drums)
501-2-14742,Timpani Solo,The Eighth Connection,Schinstine,,"Kendor Music, Inc. [Timpani Audition Solos]",2,(4 drums)
501-2-14743,Timpani Solo,The Ides of March,Schinstine,,"Kendor Music, Inc. [Timpani Audition Solos]",2,(4 drums)
501-2-14744,Timpani Solo,Triad in Motion,Schinstine,,"Kendor Music, Inc. [Timpani Audition Solos]",2,(3 drums)
501-2-14745,Timpani Solo,Triplet Threes,Ukena,,Southern Music Company,2,
501-2-14746,Timpani Solo,Scherzo for Timpani,Whaley,,"Meredith Music, Inc",2,(4 drums)
501-2-14747,Timpani Solo,Statement for Timpani,Whaley,,"Meredith Music, Inc",2,(3 drums)
501-3-14748,Timpani Solo,Grand Teton,Beck,,"Kendor Music, Inc.",3,(2 drums)
501-3-14749,Timpani Solo,Snake River,Beck,,"Kendor Music, Inc.",3,
501-3-14751,Timpani Solo,Introduction and Allegro,Brown,,"Belwin, Inc [Timpani: The Solo Collection]",3,
501-3-14752,Timpani Solo,Processional for Two Timpani,Brown,,"Belwin, Inc [Timpani: The Solo Collection]",3,(2 drums)
501-3-14753,Timpani Solo,Tensity,Brown,,"Belwin, Inc [Timpani: The Solo Collection]",3,
501-3-14754,Timpani Solo,The Earle of Oxford's March,Byrd,Raush,Ludwig Music Publishing Company,3,(play two or three timp version)
501-3-14755,Timpani Solo,"Timpani Solos No. 2, 3, 4 or 5",Price,,"Music for Percussion, Inc.",3,(play two)
501-3-14756,Timpani Solo,Triton,Roy,,Medici Music Press,3,
501-3-14757,Timpani Solo,A Scary Scherzo,Schinstine,,Southern Music Company,3,(3 drums)
501-3-14758,Timpani Solo,Emotional Motion,Schinstine,,"Kendor Music, Inc. [Timpani Audition Solos]",3,(3 drums)
