Code,Event Name,Title,Composer,Arranger,Publisher [Collection],Grade,Specification
171-3-34255,Treble Small Ensemble,In Dulci Jubilo,Praetorius,Leck,"Hal Leonard Music, Inc.",3,(SA)
171-3-34253,Treble Small Ensemble,"Thula, Thula Ngoana",Traditional,Beck,"Alfred Music Company, Inc.",3,(SSA)
171-3-34254,Treble Small Ensemble,Veni Jesu,Cherubini,Robinson,"Alfred Music Company, Inc.",3,(SSA)
171-3-34251,Treble Small Ensemble,I Will Sing You the Stars,Burrows,,"Alfred Music Company, Inc.",3,(SSA)
171-3-34252,Treble Small Ensemble,Beyond,Courtney,,"Alfred Music Company, Inc.",3,(SSA)
171-2-34249,Treble Small Ensemble,Cantate Domino,Schutz,Grundahl,Colla Voce,2,(SSA)
171-3-34250,Treble Small Ensemble,Abendlied,Mendelssohn,Robinson,"Alfred Music Company, Inc.",3,(two-part)
171-2-34247,Treble Small Ensemble,Loch Lomond,Folk Song,Donnelly & Strid,"Alfred Music Company, Inc.",2,(SSA)
171-2-34248,Treble Small Ensemble,O Magnum Mysterium,Ramos,,BriLee Music,2,(SSA)
171-2-34245,Treble Small Ensemble,Blessed be That Maid Marie,Anonymous,Leininger,Alliance Music Publications,2,(SSA)
171-2-34246,Treble Small Ensemble,A Pleasant Life,Althouse,,"Alfred Music Company, Inc.",2,(SSA)
171-1-34240,Treble Small Ensemble,Jenny,Myers,,Lawson-Gould Music Publishing Company,1,(SSAA) (divisi)
171-1-34242,Treble Small Ensemble,Chi la Gagliarda,Donato,Stroope,Alliance Music Publications,1,(SSA)
171-1-34243,Treble Small Ensemble,Vere Languores Nostros,Lotti,"Juneau, ed.","Hal Leonard Music, Inc.",1,(SSA)
171-2-34244,Treble Small Ensemble,Puer Natus,Da Rold,,Alliance Music Publications,2,(SSA)
171-1-34239,Treble Small Ensemble,By an' By,Traditional,Silvey,"Carl Fischer, Inc.",1,(SSA) (divisi)
171-1-34238,Treble Small Ensemble,Dominus Vobiscum,Narverud,,"Carl Fischer, Inc.",1,(SSA) (divisi)
171-1-34237,Treble Small Ensemble,I Shall Keep Singing,Silvey,,"Carl Fischer, Inc.",1,(SSA)
171-2-22777,Treble Small Ensemble,How Merrily We Live,Este,Barrie,"Lawson-Gould Music Publishing Company;Galaxy Music Corporation [Invitation to Madrigals, Book 3]",2,(SSA)
171-1-20424,Treble Small Ensemble,The Nightingale,Bateson,Dart,"Galaxy Music Corporation [Invitation to Madrigals, Book 3]",1,(SSA)
171-1-20428,Treble Small Ensemble,The Messenger Of Love,de Wert,Malin,"Belwin, Inc [Madrigals for Treble Voices];Alfred Music Company, Inc.",1,(SSA)
171-1-20431,Treble Small Ensemble,The Silver Swan,Gibbons,Malin,"Belwin, Inc [Madrigals for Treble Voices];Alfred Music Company, Inc.",1,(SSAA)
171-1-20440,Treble Small Ensemble,Ho Who Comes Here?,Morley,Kraus,"G. Schirmer, Inc. [European Madrigals for Equal Voices]",1,(SSAA)
171-1-20443,Treble Small Ensemble,Ein Kellner und ein Koch (A Waiter and a Cook),Rauch,Kraus,"G. Schirmer, Inc. [European Madrigals for Equal Voices]",1,(SSA)
171-1-20449,Treble Small Ensemble,Sure There Is No God Of Love,Tomkins,Dart,"Galaxy Music Corporation [Invitation to Madrigals, Book 3];Warner Bros. Music Publications Inc. [Songs of the Late Renaissance]",1,(SSAA)
171-1-20452,Treble Small Ensemble,Duo Seraphim,Victoria,Kraus,"G. Schirmer, Inc. [European Madrigals for Equal Voices]",1,(SSAA)
171-1-20453,Treble Small Ensemble,Tres sunt,Victoria,Kraus,"G. Schirmer, Inc. [European Madrigals for Equal Voices]",1,(SSAA)
171-1-20454,Treble Small Ensemble,Those Sweet Delightful Lilies,Weelkes,Dart,"Galaxy Music Corporation [Invitation to Madrigals, Book 3]",1,(SSA)
171-1-20455,Treble Small Ensemble,To Shorten Winter's Sadness,Weelkes,Malin,"Belwin, Inc [Madrigals for Treble Voices]",1,(SSAA)
171-1-20457,Treble Small Ensemble,"Away, Thou Shalt Not Love Me",Wilbye,Dart,"Galaxy Music Corporation [Invitation to Madrigals, Book 3]",1,(SSA)
171-1-20430,Treble Small Ensemble,A Shepherd In a Shade,Dowland,Thoburn,"Belwin, Inc;Warner Bros. Music Publications Inc. [Madrigals for Treble Voices];Alfred Music Company, Inc.",1,(SSAA)
171-1-20432,Treble Small Ensemble,O Lovely Catalina,Guerrero,Seay,Ludwig Music Publishing Company,1,(SSA)
171-1-20433,Treble Small Ensemble,Gold and Silver,Hayes,,Shawnee Press,1,(SSAA)
