Code,Event Name,Title,Composer,Arranger,Publisher [Collection],Grade,Specification
375-1-14222,Trombone Choir,"Jesus, Priceless Treasure",Bach,Collins,Southern Music Company,1,"QUINTET (play two contrasting mvts, choosing from mvts. 1, 2, 3, 5, 6, 7, 9 or 10)"
375-1-14227,Trombone Choir,Mephistopheles' Air,Berlioz,Borror,Medici Music Press,1,QUINTET
375-1-14434,Trombone Choir,Cathedral Music,Beversdorf,Kagarice,Southern Music Company,1,OCTET (play part 1 or 2)
375-1-36118,Trombone Choir,Red,Stephenson,,Stephenson Music,1,OCTET
375-1-14462,Trombone Choir,Diversion for Six Trombones,Tull,,"Boosey & Hawkes, Inc.",1,SEXTET (POP)
375-1-34717,Trombone Choir,Passacaglia in C Minor,Bach,Hunsberger,Ensemble Publications,1,OCTET
375-2-34718,Trombone Choir,Ave Maria,Biebl,Kalwas,Cherry Classics,2,OCTET
375-2-34709,Trombone Choir,"Radetzky March, op 228",Strauss,Fetter,David Fetter Music for Brass,2,SEXTET
375-1-34367,Trombone Choir,Bruckner Etude,Crespo,,Lydke Musikverlag,1,
375-1-34708,Trombone Choir,Excursions,Wilborn,,Warwick Music UK,1,SEXTET (play 1st & 2nd OR 2nd & 3rd)
375-2-34710,Trombone Choir,Washington Post,Sousa,Parker,Warwick Music UK,2,SEXTET
375-2-34711,Trombone Choir,Back to the Fair,Reichenbach,,Hip-Bone Music,2,SEXTET
375-1-34712,Trombone Choir,Adagietto from Symphony No 5,Mahler,Hanson,Cherry Classics,1,SEXTET
375-2-34713,Trombone Choir,March from Second Suite in F,Holst,Werden,Cimarron Music Press,2,SEXTET
375-2-34714,Trombone Choir,Peri-dots,Bolter,,Air-ev Productions,2,SEXTET
375-1-34715,Trombone Choir,Reflections & Rattledance,Cheetham,,Warwick Music UK,1,SEPTET
375-1-34716,Trombone Choir,Yorkshire Ballad,Barnes,Bohls,Southern Music Company,1,SEPTET
375-1-34719,Trombone Choir,"World Report, op. 3",Cortazzo,,BRS Music,1,OCTET
375-1-34720,Trombone Choir,Lake Effects,Skaggs,,Sterling Music Editions,1,OCTET
375-2-34721,Trombone Choir,Provence,Dibb,,Warwick Music UK,2,OCTET
375-2-34722,Trombone Choir,Empire Fanfare,Ewazen,,Warwick Music UK,2,OCTET
375-1-34723,Trombone Choir,Grand Canyon Octet,Ewazen,,Warwick Music UK,1,OCTET (play 1st & 2nd OR 2nd & 3rd)
375-2-34724,Trombone Choir,Great Lakes Octet,Ewazen,,Warwick Music UK,2,OCTET (play one fast AND one slow)
375-1-34725,Trombone Choir,Great Lakes Octet,Ewazen,,Warwick Music UK,1,OCTET (play two fast AND one slow)
375-1-34726,Trombone Choir,"Pavane, op. 50",Faure,Bollinger,Ensemble Publications,1,OCTET
375-1-34727,Trombone Choir,Grand Choeur Dialogue,Gigout,Hinterbichler,Cherry Classics,1,OCTET
375-1-34728,Trombone Choir,Canzona,Hartley,,Ensemble Publications,1,OCTET
375-2-34729,Trombone Choir,Children's Prayer from Hansel & Gretel,Humperdinck,Cherry,Cherry Classics,2,OCTET
375-1-34730,Trombone Choir,Octet,Jacob,,"Boosey & Hawkes, Inc.",1,OCTET (play 1st & 2nd OR 2nd & 3rd)
375-1-34731,Trombone Choir,Fanfare,Kazik,,Kagarice Brass Editions,1,OCTET
375-1-34732,Trombone Choir,Hex Files,Kazik,,Kagarice Brass Editions,1,OCTET
375-2-34733,Trombone Choir,Hill Country Miniatures,Lawn,,Cherry Classics,2,OCTET (play one fast AND one slow)
