Code,Event Name,Title,Composer,Arranger,Publisher [Collection],Grade,Specification
345-1-13984,Trombone Quartet,Double Fugue,Albrechtsberger,Tezak,Tezak Edition,1,
345-1-13985,Trombone Quartet,Two Pieces for Trombone Quartet,Arutiunian,,Editions Bim,1,
345-1-13987,Trombone Quartet,"Jesus, Priceless Treasure",Bach,Collins,Southern Music Company,1,(play mvts 1 & 7 or 9 & 10)
345-1-34356,Trombone Quartet,Bone Yard Stomp,Green,,RBC Publications,1,
345-1-13986,Trombone Quartet,Fugue in g minor,Bach,Sauer,"Western International Music, Inc.",1,
345-1-13989,Trombone Quartet,Bartok for Trombones,Bartok,Siekmann,C.L. Barnhouse Company,1,
345-1-13990,Trombone Quartet,Quartet for Trombones,Bassett,,Robert King,1,
345-1-34353,Trombone Quartet,Fiesta at The Red Raider Ballroom,Musella,,RBC Publications,1,(opt. percussion)
345-1-13992,Trombone Quartet,Excerpts from The Damnation of Faust,Berlioz,Ostrander,"Edition Musicus-New York, Inc.",1,
345-1-13993,Trombone Quartet,New Prague Trombones,Blahnik,,"E.C. Kerby, Ltd.",1,(play 4 mvts; must include a lyrical mvt)
345-1-13994,Trombone Quartet,Motet: Virga Jesse,Bruckner,Sauer,"Wimbledon Music, Inc.",1,
345-1-13995,Trombone Quartet,Suite for Trombones,Butts,,Shawnee Press,1,
345-1-13996,Trombone Quartet,Dances (from a Hillside Manor),Culver,,C.L. Barnhouse Company,1,
345-1-13997,Trombone Quartet,Three Madrigals for Four Trombones,Curnow (trans),,Medici Music Press,1,(play all)
345-1-13998,Trombone Quartet,Quatre Pieces,Defaye,,Alphonse Leduc,1,(play two)
345-1-34355,Trombone Quartet,Elegy (Based on a theme by Erik Satie),Nash,,RBC Publications,1,
345-1-14001,Trombone Quartet,Two Ricercars,Gabrieli,Anderson,"Western International Music, Inc.",1,
345-1-14000,Trombone Quartet,Sonata,Gabrieli,Brown,International Music Company,1,
345-1-14002,Trombone Quartet,Achieved Is the Glorious Work (from The Creation),Haydn,Miller,Ensemble Publications,1,
345-1-14003,Trombone Quartet,Music for Trombone Quartet,Jaffe,,Southern Music Company,1,
345-1-14005,Trombone Quartet,Four Rags for Four Trombones,Joplin,Sauer,"Wimbledon Music, Inc.",1,(play one)
345-1-14006,Trombone Quartet,Three Movements for Trombone Quartet,Knox,,Shawnee Press,1,
345-1-14007,Trombone Quartet,Psalm XIX,Marcello,Reichenbach,Williams Music Publications,1,
345-1-14008,Trombone Quartet,Recitative and Fugue for Trombone Quartet,McCarty,,Robert King,1,
345-1-34354,Trombone Quartet,The Deputy,Gulino,,Cimarron Music Press,1,
345-1-14010,Trombone Quartet,Six Pieces for Four Trombones,Nelhybel,,General Music Publishing Company,1,
345-1-14011,Trombone Quartet,Ricercar,Pachelbel,Brown,"Western International Music, Inc.",1,
