Code,Event Name,Title,Composer,Arranger,Publisher [Collection],Grade,Specification
306-1-30025,Bass Trombone Solo,Trilogy,Dossett,,Warwick Music UK,1,(Play mvt 1 and 2 or mvt 2 and 3)
303-1-25324,Tenor Trombone Solo,Sonata No. 1,Marcello,Yeo,"G. Schirmer, Inc. [Trombone Essentials]",1,
303-1-25325,Tenor Trombone Solo,Meditation,Massenet,Yeo,"G. Schirmer, Inc. [Trombone Essentials]",1,
306-1-25326,Bass Trombone Solo,Adagio and Allegro,Schumann,Yeo,"G. Schirmer, Inc. [Trombone Essentials]",1,
303-1-25334,Tenor Trombone Solo,Concerto Grosso #10,Handel,Katarzynski,International Music Diffusion,1,
303-1-25337,Tenor Trombone Solo,Concertante for Trombone and Piano,Holst,,Warwick Music UK,1,
303-1-25338,Tenor Trombone Solo,Suite pour Trombone Op. 22,Jorgensen,,Wilhelm Hansen,1,(play mvts 1 & 2 or 2 & 3)
303-1-25340,Tenor Trombone Solo,Piece en Mi Bemol Mineur,Ropartz,,Alphonse Leduc,1,
303-2-25346,Tenor Trombone Solo,Andante and March,Fox,,"Belwin, Inc",2,
303-2-25347,Tenor Trombone Solo,Concerto No. 1 in D,Mozart,,Medici Music Press,2,(mvt 1 or 2 only)
303-2-25348,Tenor Trombone Solo,"Prelude and Chorale ""Svaty Vaclave""",Nelhybel,,"Alliance Publications, Inc.",2,
303-2-25349,Tenor Trombone Solo,Inflammatus,Rossinni,,"Carl Fischer, Inc. [Festival Performance Solo, Vol. 2]",2,
303-3-25350,Tenor Trombone Solo,Air on a G String,Bach,Dishinger,Medici Music Press,3,
303-3-25351,Tenor Trombone Solo,Andante and March,Saint-Jacome,Brom,"Kendor Music, Inc.",3,
306-2-25364,Bass Trombone Solo,Canzone,Frescobladi,Koopman,Warwick Music UK,2,
306-2-25365,Bass Trombone Solo,Ride of the Valkyries,Wagner,Uber,"Kendor Music, Inc.",2,
303-1-12876,Tenor Trombone Solo,Fantasy for Trombone,Arnold,,"Faber Music, Ltd.",1,(unaccomp)
303-1-12877,Tenor Trombone Solo,"Haste, Ye Shepherds",Bach,Beversdorf,Southern Music Company,1,
303-1-12880,Tenor Trombone Solo,Andante et Allegro,Barat,,Southern Music Company,1,
303-1-12881,Tenor Trombone Solo,Piece en Mi Bemol,Barat,,Alphonse Leduc,1,
303-1-12882,Tenor Trombone Solo,Sonata,Bassett,La Fosse,Robert King,1,(play mvts 1 & 2 or 2 & 3)
303-1-12884,Tenor Trombone Solo,Concerto No. 2 in Db Major,Blazhevich,,International Music Company,1,(play mvts 1 & 2 or 2 & 3)
303-1-12883,Tenor Trombone Solo,Concert Piece No. 5,Blazhevich,,"Belwin, Inc [Classic Festival Solos Volume 2, Trombone]",1,
303-1-12885,Tenor Trombone Solo,Sonatina,Boda,,Robert King,1,
303-1-12887,Tenor Trombone Solo,Ballade,Bozza,,Alphonse Leduc,1,
