Code,Event Name,Title,Composer,Arranger,Publisher [Collection],Grade,Specification
332-1-13469,Trombone Trio,"Jesus, Priceless Treasure",Bach,Collins,Southern Music Company,1,(play mvts 4 & 8)
332-1-13470,Trombone Trio,"Sinfonias Nos. 1, 9, and 13",Bach,Sauer,"Wimbledon Music, Inc.",1,(play all)
332-1-13471,Trombone Trio,"Sinfonias Nos. 8, 4, and 6",Bach,Sauer,"Western International Music, Inc.",1,(play two)
332-1-13472,Trombone Trio,Suite (from The Mount of Olives),Beethoven,Ostrander,Qunito Maganini,1,(play two mvts)
332-1-13473,Trombone Trio,Polka Dots,Buchtel,,C.L. Barnhouse Company,1,
332-1-13474,Trombone Trio,The Earle of Oxford's March,Byrd,Dishinger,Medici Music Press,1,
332-1-13475,Trombone Trio,Triptych,Coolidge,,Southern Music Company,1,
332-1-13476,Trombone Trio,Sonata da chiesa Op. 3 No. 7,Corelli,Nethercutt,The Brass Press,1,
332-1-34350,Trombone Trio,Trio Sonata,Albinoni,Yeo,Southern Music Company,1,
332-1-13478,Trombone Trio,Chorale,Gay,,Robert King,1,
332-1-13479,Trombone Trio,Scherzo,Giovannini,,Dorabet Music Co.;RBC Publications,1,
332-1-13480,Trombone Trio,Petits Chansons,Gretchaninoff,Lester,"JTL Publications, G. Scott Music Publishing Co.",1,
332-1-13481,Trombone Trio,Suite for Three Trombones,Handel,Ostrander,"Edition Musicus-New York, Inc.",1,(play two mvts)
332-1-13482,Trombone Trio,Four Pieces,Hartley,Tricinia,Theodore Presser Company,1,(play three)
332-1-13483,Trombone Trio,Alteba Trio,Hidas,,Editio Musica,1,
332-1-13484,Trombone Trio,Lift Thine Eyes,Mendelssohn,Collins,Southern Music Company,1,
332-1-13485,Trombone Trio,Suite for Three Trombones,Mozart,Ostrander,Qunito Maganini,1,(play all)
332-1-13486,Trombone Trio,Contest Trio No. 2,Ostransky,,"Rubank, Inc.",1,
332-1-13487,Trombone Trio,Sonata No. 4,Pergolesi,Sauer,"Western International Music, Inc.",1,
332-1-13488,Trombone Trio,Three Part Music (from the Renaissance),Anon. or Trad.,Sauer,"Western International Music, Inc.",1,
332-1-13489,Trombone Trio,Fugue Op. 68,Schumann,Fote,"Kendor Music, Inc.",1,
332-1-13490,Trombone Trio,Little Suite in F,Skolnik,,Theodore Presser Company,1,
332-1-13491,Trombone Trio,Scherzo Op. 13,Snosko-Borovsky,Gibson,International Music Company,1,
332-1-13492,Trombone Trio,Two Sonatas,Speer,,Musica Rara,1,
332-1-13493,Trombone Trio,Manhattan Vignettes,Uber,,"Edition Musicus-New York, Inc.",1,(play four mvts)
332-2-13494,Trombone Trio,Musette (from Anna Magdalena Bach Notebook),Bach,Dishinger,Medici Music Press,2,
332-2-13495,Trombone Trio,Suscepit Israel,Bach,Schmidt,"Western International Music, Inc.",2,
332-2-13496,Trombone Trio,Trio for Trombones,Beethoven,Smith,"Kendor Music, Inc.",2,
332-2-13497,Trombone Trio,At the Stable in Bethlehem,Berlioz,Ostrander,"Edition Musicus-New York, Inc.",2,
332-2-13498,Trombone Trio,Gavotte (from Symphony No. 4),Boyce,Vedeski,Medici Music Press,2,
332-2-13499,Trombone Trio,Three of a Kind,Buchtel,,C.L. Barnhouse Company,2,
332-2-13500,Trombone Trio,Five Trios Vol. 1,Druchetzky,Dishinger,Medici Music Press,2,(play three mvts)
332-2-13501,Trombone Trio,Amazing Grace,Anon. or Trad.,Engebretson,Ed Sueta Publications,2,
332-2-13502,Trombone Trio,Manchester Hornpipe,Anon. or Trad.,Engebretson,Ed Sueta Publications,2,
332-2-13503,Trombone Trio,Sailor's Worksong,Anon. or Trad.,Engebretson,Ed Sueta Publications,2,
332-2-13504,Trombone Trio,Menuet (from Concerto Grosso Op. 6 No. 5),Handel,Dishinger,Medici Music Press,2,
332-2-13505,Trombone Trio,Night Hawk Rock Rhapsody,Hilliard,,Ed Sueta Publications,2,
332-2-13506,Trombone Trio,Two Medieval Motets,Anon. or Trad.,King,Robert King,2,
332-2-13507,Trombone Trio,Gavotte in Rondeau,Lully,Post,Medici Music Press,2,
332-2-13508,Trombone Trio,Suite for Three Trombones,Mozart,,Qunito Maganini,2,(play two mvts)
332-2-13509,Trombone Trio,Contest Trio No. 1,Ostransky,,"Rubank, Inc.",2,
332-2-13510,Trombone Trio,Gavotte and Hornpipe,Purcell,Dishinger,Medici Music Press,2,
332-2-13512,Trombone Trio,Marche (from Suite No. 5 for Clavier),Purcell,Dishinger,Medici Music Press,2,
332-2-13511,Trombone Trio,Gavotte (from Harpsichord Suite No. 5),Purcell,Vedeski,Medici Music Press,2,
332-2-13513,Trombone Trio,"Rigaudon (from Pieces de Clavecin, 1724)",Rameau,Dishinger,Medici Music Press,2,
332-2-13514,Trombone Trio,Four Allemandes,Schop,Voxman/Block,Southern Music Company,2,
332-2-13515,Trombone Trio,Album for the Young Op. 68,Schumann,Ostrander,M. Baron Company,2,(play three)
332-2-13516,Trombone Trio,Imitation,Tanner,,RBC Publications,2,
332-2-13517,Trombone Trio,Trombone Contrasts,Walters,,"Rubank, Inc.",2,
332-3-13518,Trombone Trio,Menuet in G,Bach,Dishinger,Medici Music Press,3,
332-3-13519,Trombone Trio,St. Catherine's Rigaudon,Barrett,Dishinger,Medici Music Press,3,
332-3-13520,Trombone Trio,Theme and March,Conley,,"Kendor Music, Inc.",3,
332-3-13522,Trombone Trio,Allegro (from Concerto Grosso Op. 3 No. 4),Handel,Dishinger,Medici Music Press,3,
332-3-13523,Trombone Trio,Gypsy Love Song,Herbert,Harris,Ludwig Music Publishing Company,3,
332-3-13524,Trombone Trio,Dancing Song (from Eight Russian Folksongs Op. 58),Liadov,Dishinger,Medici Music Press,3,
332-3-13525,Trombone Trio,March of the Roman Gladiator,Lombardo,,"Kendor Music, Inc.",3,
332-3-13526,Trombone Trio,Adoramus Te,di Lasso,Marcellus,"Belwin, Inc [Trios for Brass Vol. 1]",3,
332-3-13527,Trombone Trio,Presto (from Divertimento No. 12),Mozart,Dishinger,Medici Music Press,3,
332-3-13528,Trombone Trio,The Rosary,Nevin,Harris,Ludwig Music Publishing Company,3,
332-3-13529,Trombone Trio,Children's Prayer,Humperdinck,Uggen,"Schmitt, Hall & McCreary Company [Playwell Trio and Quartet Folio]",3,
332-3-23604,Trombone Trio,Alleluia,Constantini,Marcellus,"Belwin, Inc [Trios for Brass Vol. 1]",3,
332-3-23605,Trombone Trio,Give Us Peace,Praetorius,Marcellus,"Belwin, Inc [Trios for Brass Vol. 1]",3,
332-3-23606,Trombone Trio,Largo,Cherubini,Marcellus,"Belwin, Inc [Trios for Brass Vol. 1]",3,
332-3-23607,Trombone Trio,Song Lesson,Cherubini,Marcellus,"Belwin, Inc [Trios for Brass Vol. 1]",3,
332-3-23608,Trombone Trio,O Salutaris,Martini,Marcellus,"Belwin, Inc [Trios for Brass Vol. 1]",3,
332-3-23609,Trombone Trio,Tristis Anima,Martini,Marcellus,"Belwin, Inc [Trios for Brass Vol. 1]",3,
332-3-23610,Trombone Trio,When Song Is Sweet,Sans-Souci,Uggen,"Schmitt, Hall & McCreary Company [Playwell Trio and Quartet Folio]",3,
332-3-23611,Trombone Trio,Within A Dreaming Harbor,Cook,Uggen,"Schmitt, Hall & McCreary Company [Playwell Trio and Quartet Folio]",3,
332-3-23612,Trombone Trio,Love Is A Rose,Sans-Souci,Uggen,"Schmitt, Hall & McCreary Company [Playwell Trio and Quartet Folio]",3,
332-3-23613,Trombone Trio,The Great White Host,Grieg,Uggen,"Schmitt, Hall & McCreary Company [Playwell Trio and Quartet Folio]",3,
332-3-23614,Trombone Trio,Sweet and Low,Barnby,Uggen,"Schmitt, Hall & McCreary Company [Playwell Trio and Quartet Folio]",3,
332-3-23615,Trombone Trio,In the Gloaming,Harrison,Uggen,"Schmitt, Hall & McCreary Company [Playwell Trio and Quartet Folio]",3,
332-3-23616,Trombone Trio,Drink to Me Only with Thine Eyes,Anon. or Trad.,Uggen,"Schmitt, Hall & McCreary Company [Playwell Trio and Quartet Folio]",3,
332-3-23617,Trombone Trio,Beautiful Saviour,Anon. or Trad.,Uggen,"Schmitt, Hall & McCreary Company [Playwell Trio and Quartet Folio]",3,
332-3-23618,Trombone Trio,Steal Away,Anon. or Trad.,Uggen,"Schmitt, Hall & McCreary Company [Playwell Trio and Quartet Folio]",3,
332-3-23619,Trombone Trio,Turn Thee Again,Anon. or Trad.,Uggen,"Schmitt, Hall & McCreary Company [Playwell Trio and Quartet Folio]",3,
332-2-29912,Trombone Trio,Three Spirituals,Anon. or Trad.,Uber,"Kendor Music, Inc.",2,(play all)
332-3-29913,Trombone Trio,Beginning Trios for Trombones,Uber,,"Kendor Music, Inc.",3,(play any 4)
332-1-29914,Trombone Trio,"Trio Sonata No. 5, Movement 3 (from Six Trio Sonatas, BWV 529)",Bach,Dishinger,Medici Music Press,1,(play all)
332-1-29915,Trombone Trio,Elijah Favorites,Mendelssohn,Hall,Great Works Publishing,1,(play all)
332-1-29916,Trombone Trio,A Viennese Sonatina,Mozart,Miller,Ludwig Music Publishing Company,1,(play all)
332-1-29917,Trombone Trio,Old Tyme Songs,Hall,,Great Works Publishing,1,(play all)
332-1-29918,Trombone Trio,Dance Suite,Hall,,Great Works Publishing,1,(play all)
332-1-34351,Trombone Trio,Interludio,Hidas,,Editio Musica,1,
