Code,Event Name,Title,Composer,Arranger,Publisher [Collection],Grade,Specification
340-2-25370,Trumpet Quartet,Sarabande and Double,Bach,Brom,"Kendor Music, Inc.",2,
340-1-25371,Trumpet Quartet,"Choral: Komm, Gott Schopfer, Heiliger",Walter,Hickman,Trigram Music Inc.,1,
340-1-13633,Trumpet Quartet,"Jesu, Joy of Man's Desiring",Bach,Thurston,Southern Music Company,1,
340-1-13634,Trumpet Quartet,Tournament of Trumpets,Bennett,,"Carl Fischer, Inc.",1,
340-1-13635,Trumpet Quartet,Six Marcie per la Cavalleria,Anon. or Trad.,Blumel,Tezak Edition,1,
340-1-13636,Trumpet Quartet,Country Pictures,Brandt,,International Music Company,1,
340-1-13637,Trumpet Quartet,Four Fanfares for all Occasions,Bush,,"Wimbledon Music, Inc.",1,(play three)
340-1-13638,Trumpet Quartet,Six Pieces D'Audition,Defaye,,Alphonse Leduc,1,(play mvt 5 or 6)
340-1-13639,Trumpet Quartet,Baroque Suite,Dishinger,,Medici Music Press,1,(play three or more mvts)
340-1-13640,Trumpet Quartet,Suite for Trumpets,Dubensky,,Charles Colin Music Publishers,1,(play mvts 1 & 2 or mvt 3)
340-1-13641,Trumpet Quartet,Scherzino,Fitzgerald,,"Carl Fischer, Inc.",1,
340-1-13642,Trumpet Quartet,The Rushin' Trumpeters,Gillis,,"Belwin, Inc",1,
340-1-13643,Trumpet Quartet,Festival Prelude,Johnson,,"Belwin, Inc",1,
340-1-13644,Trumpet Quartet,Three Elizabethan Madrigals,Kaisershot,,"Kendor Music, Inc.",1,
340-1-13645,Trumpet Quartet,Baroque Suite,Anon. or Trad.,Ostrander,Qunito Maganini,1,
340-1-13646,Trumpet Quartet,Four Trump,Rugolo,,RBC Publications,1,
340-1-13647,Trumpet Quartet,Canzon,Scheidt,,Robert King,1,
340-1-13648,Trumpet Quartet,Canzon Cornetto,Scheidt,,"J&W Chester, Ltd.",1,
340-1-13649,Trumpet Quartet,Concerto for Four Trumpets,Telemann,Nagel,"Mentor Music, Inc.",1,(play mvts 1 & 2 or 1 & 4)
340-1-13650,Trumpet Quartet,Canonical Trilogy,Tull,,"Western International Music, Inc.",1,
340-2-13651,Trumpet Quartet,Kyrie in F,Bach,Dishinger,Medici Music Press,2,
340-2-13652,Trumpet Quartet,Kyrie in G,Bach,Dishinger,Medici Music Press,2,
340-2-13654,Trumpet Quartet,The Earle of Oxford's Marche,Byrd,Dishinger,Medici Music Press,2,
340-2-13653,Trumpet Quartet,Rowland,Byrd,Dishinger,Medici Music Press,2,(no repeats)
340-2-13655,Trumpet Quartet,Two Renaissance Canons,des Pres,Decker,Medici Music Press,2,
340-2-13656,Trumpet Quartet,March and Chorale,Dillon,,"Boosey & Hawkes, Inc.",2,
340-2-13657,Trumpet Quartet,Americana Suite No.1,Dishinger,,Medici Music Press,2,(play mvts 1 & 3 or 1 & 4 or 2 & 3 or 2 & 4)
340-2-13658,Trumpet Quartet,English Madrigal Suite,Farmer,Dishinger,Medici Music Press,2,(play mvt 1)
340-2-13659,Trumpet Quartet,Madrigal: Io Pur Respiro,Gesualdo,Dishinger,Medici Music Press,2,
340-2-13660,Trumpet Quartet,Sonata da Chiesa,Israel,,Theodore Presser Company,2,(play two mvts)
340-2-13661,Trumpet Quartet,The Game,Kabalevsky,Lester,"JTL Publications, G. Scott Music Publishing Co.",2,(play all)
340-2-13662,Trumpet Quartet,Moods,Leonard,,H.T. FitzSimons Company,2,
340-2-13663,Trumpet Quartet,Marcia Grandioso,Lotzenhiser,,"Rubank, Inc.",2,
340-2-13664,Trumpet Quartet,Scherzetto,Lotzenhiser,,"Rubank, Inc.",2,
