Code,Event Name,Title,Composer,Arranger,Publisher [Collection],Grade,Specification
301-1-25284,Cornet/Trumpet Solo,Concerto in c minor,Marcello,Dishinger,Medici Music Press,1,"(mvts 1 & 2, or 2 & 3)"
301-1-25285,Cornet/Trumpet Solo,Contest Piece,Alary,,"Carl Fischer, Inc. [Festival Performance Solos Vol. 2]",1,
301-1-25288,Cornet/Trumpet Solo,Chiapanecas,Mendez,,"Carl Fischer, Inc. [Festival Performance Solos Vol. 2]",1,
301-1-25290,Cornet/Trumpet Solo,Jota No. 2,Mendez,,"Carl Fischer, Inc. [The Rafael Mendez Collection]",1,
301-1-25291,Cornet/Trumpet Solo,Samba Espanola,Mendez,,"Carl Fischer, Inc. [The Rafael Mendez Collection]",1,
301-1-25292,Cornet/Trumpet Solo,Zapateado,Sarasate,,"Carl Fischer, Inc. [The Rafael Mendez Collection]",1,
301-1-25293,Cornet/Trumpet Solo,Concerto in G major,Telemann,Rondald Dishinger,Medici Music Press,1,(play mvt 3 & 4 only)
301-2-25295,Cornet/Trumpet Solo,The Elf Trumpeter,Mendez,,"Carl Fischer, Inc. [The Rafael Mendez Collection]",2,
301-2-25296,Cornet/Trumpet Solo,Scarlatti Suite,Scarlatti,Fitzgerald,"Belwin, Inc [Belwin Classic Festival Solos Vol. 2]",2,(play mvts 1 & 2 or 2 & 3)
301-2-25297,Cornet/Trumpet Solo,My Heart at Thy Sweet Voice,Saint-Saens,,"Carl Fischer, Inc. [Festival Performance Solos Vol. 2]",2,
301-2-25298,Cornet/Trumpet Solo,Trixie Valse,Clark,,"Carl Fischer, Inc. [Festival Performance Solos Vol. 2]",2,
301-2-25299,Cornet/Trumpet Solo,Magic Trumpet,Burke,,"Carl Fischer, Inc. [Festival Performance Solos Vol. 2]",2,
301-2-25300,Cornet/Trumpet Solo,Blue Waves,Mendez,,"Carl Fischer, Inc. [The Rafael Mendez Collection]",2,
301-2-25301,Cornet/Trumpet Solo,Lullaby,Mendez,,"Carl Fischer, Inc. [The Rafael Mendez Collection]",2,
301-2-25302,Cornet/Trumpet Solo,Patzcuaro,Mendez,,"Carl Fischer, Inc. [Festival Performance Solos Vol. 2]",2,
301-2-25303,Cornet/Trumpet Solo,Tango Habanera,Mendez,,"Carl Fischer, Inc. [The Rafael Mendez Collection]",2,
301-2-25304,Cornet/Trumpet Solo,The Knight Trumpeter,Mendez,,"Carl Fischer, Inc. [The Rafael Mendez Collection]",2,
301-2-25305,Cornet/Trumpet Solo,Valse Suriano,Mendez,,"Carl Fischer, Inc. [Festival Performance Solos Vol. 2]",2,
301-2-25306,Cornet/Trumpet Solo,Three Pieces of Brass,Otto,,"Carl Fischer, Inc. [Festival Performance Solos Vol. 2]",2,
301-2-25307,Cornet/Trumpet Solo,"Prelude and Chorale ""Svaty Vaclave""",Nelhybel,,"Alliance Publications, Inc.",2,
301-3-25310,Cornet/Trumpet Solo,Andantino,Sor,,"Belwin, Inc [Belwin Classic Festival Solos Vol. 2]",3,
301-3-25311,Cornet/Trumpet Solo,Texania,Gerard,,International Music Diffusion,3,
301-3-25312,Cornet/Trumpet Solo,Toy Trumpet's Circus Parade,Gerard,,International Music Diffusion,3,
301-3-25313,Cornet/Trumpet Solo,El Verano,Knipfel,Leonard,"Belwin, Inc [Belwin Classic Festival Solos Vol. 2]",3,
301-3-25314,Cornet/Trumpet Solo,Happy Go Lucky,Smith,,"Belwin, Inc [Belwin Classic Festival Solos Vol. 2]",3,
301-3-25316,Cornet/Trumpet Solo,Dedication,Pelz,,"Belwin, Inc [Belwin Classic Festival Solos Vol. 2]",3,
301-1-12408,Cornet/Trumpet Solo,Sonatina for Trumpet,Alexius,,"Western International Music, Inc.",1,
301-1-12409,Cornet/Trumpet Solo,Concertino No. 3,Andrieu,,"Edition Musicus-New York, Inc.",1,
301-1-12410,Cornet/Trumpet Solo,Carnival of Venice,Arban,,"Carl Fischer, Inc.",1,
301-1-12411,Cornet/Trumpet Solo,Fantaisie Brillante,Arban,,"Carl Fischer, Inc. [12 Celebrated Fantasies and Airs Varies (in Arban Complete Method)]",1,(piano accompaniment published separately)
301-1-12413,Cornet/Trumpet Solo,Aria et Scherzo,Aroutiounian,,Alphonse Leduc,1,
301-1-12414,Cornet/Trumpet Solo,Concerto,Arutunian,,International Music Company;International Music Service,1,(play Opening plus fast mvt or slow mvt) Opening: Beginning measure 1 to rehearsal letter D Choose one fast or one slow mvt from the following: Rehearsal letters D to F Rehearsal letters G to L Rehearsal letters M to P Rehearsal letter P to end
301-1-32881,Cornet/Trumpet Solo,Sonatine,Martinu,,Alphonse Leduc,1,
301-1-12417,Cornet/Trumpet Solo,Prelude et Ballade,Balay,,Alphonse Leduc,1,
301-1-12418,Cornet/Trumpet Solo,Andante et Scherzo,Barat,,Alphonse Leduc,1,
301-1-12419,Cornet/Trumpet Solo,Fantaisie en Mi Bemol,Barat,,Alphonse Leduc,1,(Eb)
301-1-12420,Cornet/Trumpet Solo,Lento et Scherzo,Barat,,Alphonse Leduc,1,
301-1-12421,Cornet/Trumpet Solo,Citoyen Mardi-Gras,Bariller,,Alphonse Leduc,1,
301-1-12422,Cornet/Trumpet Solo,Suite,Baudrier,,Alphonse Leduc,1,(play all)
301-1-12423,Cornet/Trumpet Solo,La Mandolinata,Bellstedt,Simon,Southern Music Company,1,
301-1-12424,Cornet/Trumpet Solo,Napoli,Bellstedt,Simon,"Carl Fischer, Inc.",1,
301-1-12425,Cornet/Trumpet Solo,Sonata,Beversdorf,,Southern Music Company,1,(play mvt 1 or 3)
301-1-12426,Cornet/Trumpet Solo,Fantasietta,Bitsch,,Alphonse Leduc,1,
301-1-12427,Cornet/Trumpet Solo,Proclamation,Bloch,,Broude Brothers,1,
301-1-12428,Cornet/Trumpet Solo,Concerto in f minor,Bohme,,D. Rahter;Simrock,1,(play mvt 1 or 3) NMR:(play mvt. 1 or 3)
301-1-12429,Cornet/Trumpet Solo,Badinage,Bozza,,Alphonse Leduc,1,
301-1-12430,Cornet/Trumpet Solo,Caprice,Bozza,,Alphonse Leduc,1,(play all) NMR:(play all)
301-1-12431,Cornet/Trumpet Solo,Rustiques,Bozza,,Alphonse Leduc,1,
301-1-12432,Cornet/Trumpet Solo,Concert Piece No. 1 Op. 11,Brandt,Voisin,International Music Company,1,
301-1-12433,Cornet/Trumpet Solo,Danza Allegre,Burke,,"Carl Fischer, Inc.",1,
301-1-12434,Cornet/Trumpet Solo,Andante et Scherzo,Busser,,Alphonse Leduc,1,
301-1-12435,Cornet/Trumpet Solo,Variations in Db Op. 53,Busser,,Alphonse Leduc,1,
301-1-12436,Cornet/Trumpet Solo,Breves Rencontres,Casterede,,Alphonse Leduc,1,(play mvt 1 or 3)
301-1-12437,Cornet/Trumpet Solo,Credo,Chance,,"Boosey & Hawkes, Inc.",1,
301-1-12438,Cornet/Trumpet Solo,Solo de Concours,Charlier,,Schott Company,1,
301-1-12442,Cornet/Trumpet Solo,The Bride of the Waves,Clarke,,"Belwin, Inc [The Best of Herbert L. Clarke]",1,
301-1-12439,Cornet/Trumpet Solo,Carnival of Venice,Clarke,,"Belwin, Inc [The Best of Herbert L. Clarke]",1,
301-1-12443,Cornet/Trumpet Solo,The Debutante,Clarke,,"Belwin, Inc [The Best of Herbert L. Clarke]",1,
301-1-12440,Cornet/Trumpet Solo,From the Shores of the Mighty Pacific,Clarke,,"Belwin, Inc [The Best of Herbert L. Clarke]",1,
301-1-12444,Cornet/Trumpet Solo,The Harp That Once Thro' Tara's Halls,Clarke,,"Belwin, Inc [The Best of Herbert L. Clarke]",1,(play all) NMR:(play all)
301-1-12441,Cornet/Trumpet Solo,Sounds (from the Hudson),Clarke,,"Belwin, Inc [The Best of Herbert L. Clarke]",1,(play all) NMR:(play all)
301-1-12445,Cornet/Trumpet Solo,The Southern Cross,Clarke,,"Belwin, Inc [The Best of Herbert L. Clarke]",1,(play all) NMR:(play all)
301-1-12446,Cornet/Trumpet Solo,Sarabande et Rigaudon,Clergue,,Lemoine Music Company,1,
301-1-12447,Cornet/Trumpet Solo,Solo de Concours,Cools,,Alphonse Leduc,1,
301-1-32880,Cornet/Trumpet Solo,Centennial Horizon,McKee,,Kevin McKee Music,1,(play mvt 2)
301-1-12449,Cornet/Trumpet Solo,Sonata,Dello Joio,,Associated Music Publishers Inc.,1,"(play mvt 1, 2 or 3)"
301-1-12450,Cornet/Trumpet Solo,Prelude et Allegro,Donato,,Alphonse Leduc,1,
301-1-12451,Cornet/Trumpet Solo,8771W,Ellis,,Harold Gore Publishing Co.,1,
301-1-12452,Cornet/Trumpet Solo,Legende,Enesco,,International Music Company,1,
301-1-12453,Cornet/Trumpet Solo,Concertino,Erickson,,"Carl Fischer, Inc.",1,
301-1-12454,Cornet/Trumpet Solo,Aria and Rondo,Fiocco,Frackenpohl,"Kendor Music, Inc.",1,
301-1-12455,Cornet/Trumpet Solo,Introduction and Fantasy,Fitzgerald,,"Belwin, Inc",1,
301-1-12456,Cornet/Trumpet Solo,Boutade,Gabaye,,Alphonse Leduc,1,
301-1-12457,Cornet/Trumpet Solo,Feu d'Artifice,Gabaye,,Alphonse Leduc,1,
301-1-12458,Cornet/Trumpet Solo,Concerto,Giannini,,Remick Music Corporation (See Alfred),1,(play mvt 1 or 3) NMR:(play mvt. 1 or 3)
301-1-12459,Cornet/Trumpet Solo,Suite,Gibbons,Cruft,Galaxy Music Corporation,1,(play three mvts)
301-1-12460,Cornet/Trumpet Solo,Concert Etude Op. 49,Goedicke,,Music Corporation of America,1,
301-1-12461,Cornet/Trumpet Solo,All'Antica,Goeyens,,Southern Music Company,1,
301-1-12462,Cornet/Trumpet Solo,Introduction and Scherzo,Goeyens,,"Carl Fischer, Inc.",1,
301-1-12464,Cornet/Trumpet Solo,Concertino,Gotkovsky,,"Salabert, Inc.",1,(play mvt 1 or 3)
301-1-12465,Cornet/Trumpet Solo,Concerto,Gregson,,Novello Publications Inc.,1,"(play mvt 1, 2 or 3) NMR:(play mvt 1, 2 or 3)"
301-1-12466,Cornet/Trumpet Solo,Sonate en fa,Haendel,Thilde,Billaudot,1,(play mvts 1 & 2 or 2 & 3)
301-1-12467,Cornet/Trumpet Solo,Perles de Cristal,Hamel,,Gerard Billaudot Edition,1,
301-1-12468,Cornet/Trumpet Solo,Adagio and Allegro (from Sonata in E),Handel,Fitzgerald,Theodore Presser Company,1,
301-1-12469,Cornet/Trumpet Solo,Aria Con Variazioni,Handel,Fitzgerald,"Belwin, Inc",1,
301-1-12470,Cornet/Trumpet Solo,Concerto for Trumpet,Handel,Musser,Sam Fox Publishing Company,1,(play mvts 1 & 2 or 3 & 4)
301-1-12471,Cornet/Trumpet Solo,Sonata for Trumpet,Handel,Musser,Sam Fox Publishing Company,1,(play mvts 1 & 2)
301-1-12472,Cornet/Trumpet Solo,Sonatina,Hartley,,Accura Music,1,(play mvts 1 & 2 or 2 & 3)
301-1-12473,Cornet/Trumpet Solo,Concerto in Eb,Haydn,Goeyens,"Carl Fischer, Inc.",1,(play mvt 1 or 3)
301-1-12475,Cornet/Trumpet Solo,Variation Movements 1967,Henderson,,"Western International Music, Inc.",1,(play mvts. 1 & 2) (unaccomp) NMR:(play mvts. 1 & 2)
301-1-12476,Cornet/Trumpet Solo,Sonate,Hindemith,,Schott Company,1,(play mvt 1 or 3)
301-1-12477,Cornet/Trumpet Solo,Sonata,Holmes,,Shawnee Press,1,(play mvt 1 or 3)
301-1-12478,Cornet/Trumpet Solo,Intrada,Honegger,,"Salabert, Inc.",1,
301-1-12479,Cornet/Trumpet Solo,Sonate,Hubeau,,Durand,1,(play mvts 1 & 2)
301-1-12480,Cornet/Trumpet Solo,Solo de Concert,Hue,Mager/Andraud,Southern Music Company,1,
301-1-12481,Cornet/Trumpet Solo,Trumpet Concerto in Eb,Hummel,Ghitalla,Robert King,1,(play mvt 1 or 3)
301-1-32879,Cornet/Trumpet Solo,Suite Nostalgique,Stephenson,,Stephenson Music,1,(play mvts 2 & 3)
301-1-12484,Cornet/Trumpet Solo,Essay,Johnston,,Witmark & Sons,1,
301-1-12485,Cornet/Trumpet Solo,Concertino for Trumpet,Kaminski,,Israel Music Institute,1,(play mvt 1 or 3)
301-1-12486,Cornet/Trumpet Solo,Sonata,Kennan,,Remick Music Corporation (See Alfred),1,(play mvt 1 or 3)
301-1-12487,Cornet/Trumpet Solo,Suite,Latham,,The John Church Company,1,(play mvts 1 & 2 or 2 & 3)
301-1-12488,Cornet/Trumpet Solo,Sonata,Lauridsen,,Robert King,1,"(play mvt 1, 2 or 3)"
301-1-12489,Cornet/Trumpet Solo,Songs of a Wayfarer,Mahler,Roller,RBC Publications,1,(play mvts 1 & 2 or 3 & 4)
301-1-12491,Cornet/Trumpet Solo,Concertino,Mailman,,"Mills Music, Inc.",1,(play mvt 1 or 3)
301-1-12492,Cornet/Trumpet Solo,Jota,Mendez,,"Carl Fischer, Inc.",1,
301-1-32878,Cornet/Trumpet Solo,Old Salt,Stephenson,,Stephenson Music,1,(play mvt 1 or 3)
301-1-12494,Cornet/Trumpet Solo,Concerto in Eb,Neruda,,Musica Rara,1,(play mvts 1 & 2 or 2 & 3)
301-1-12495,Cornet/Trumpet Solo,Concerto for Trumpet,O'Reilly,,Shawnee Press,1,(play all)
301-1-12496,Cornet/Trumpet Solo,Nightsongs for Fluegelhorn and/or Trumpet,Peaslee,,"Margun Music, Inc.",1,(play all) NMR:(play all)
301-1-12497,Cornet/Trumpet Solo,Sonata Op. 51,Peeters,,C.F. Peters Corporation,1,(play mvt 1 or 3)
301-1-12498,Cornet/Trumpet Solo,The Hollow Men,Persichetti,,"Elkan-Vogel Company, Inc.",1,
301-1-12499,Cornet/Trumpet Solo,Concertino,Porrino,,"Ricordi & Company, Inc.",1,(play all) NMR:(play all)
301-1-12500,Cornet/Trumpet Solo,Sonata in g minor,Purcell,Lillya/Isaac,"Carl Fischer, Inc.",1,(play mvts 1 & 3)
301-1-12501,Cornet/Trumpet Solo,Ode for Trumpet,Reed,,Southern Music Company,1,
301-1-12502,Cornet/Trumpet Solo,Concertino,Riisager,,Wilhelm Hansen,1,(play mvt 1 or 3)
301-1-12503,Cornet/Trumpet Solo,Andante et Allegro,Ropartz,Mager/Andraud,Southern Music Company;Excelcia;International Music Company,1,
301-1-12504,Cornet/Trumpet Solo,Concert Solo No. 1,Rougnon,Voxman/Block,Southern Music Company,1,
301-1-12505,Cornet/Trumpet Solo,Fantaisie en Mi Bemol,Saint-Saens,Busser,Alphonse Leduc,1,
301-1-12506,Cornet/Trumpet Solo,Sonata No. 17,Scarlatti,Voisin,International Music Company,1,
301-1-12508,Cornet/Trumpet Solo,Liturgical Suite,Short,,Shawnee Press,1,(play mvt 1 or 3)
301-1-12510,Cornet/Trumpet Solo,Fantasy for Trumpet,Smith,,Wingert/Jones,1,
