Code,Event Name,Title,Composer,Arranger,Publisher [Collection],Grade,Specification
331-3-25366,Trumpet Trio,The Heavens Proclaim,Beethoven,Conley,"Kendor Music, Inc.",3,
331-2-25367,Trumpet Trio,Fiesta,Kaisershot,,"Kendor Music, Inc.",2,
331-1-13413,Trumpet Trio,The Three Trumpeters,Agostini,Bainum,"Belwin, Inc",1,
331-1-13414,Trumpet Trio,Bugler's Holiday,Anderson,,"Belwin, Inc",1,(piano accompaniment REQUIRED)
331-1-13415,Trumpet Trio,Suscepit Israel,Bach,Moore,"Western International Music, Inc.",1,
331-1-13416,Trumpet Trio,Fanfare for St. Edmundsbury,Britten,,"Boosey & Hawkes, Inc.",1,
331-1-13417,Trumpet Trio,The Earle of Oxford's Marche,Byrd,Dishinger,Medici Music Press,1,
331-1-13418,Trumpet Trio,Seicento (from Sixteenth Century Italian Music),Anon. or Trad.,Clark,"Edition Musicus-New York, Inc.",1,
331-1-13419,Trumpet Trio,Six Pieces D'Audition,Defaye,,Alphonse Leduc,1,(play one)
331-1-13420,Trumpet Trio,Fantasia for Three,Gibbons,Clark,"Edition Musicus-New York, Inc.",1,
331-1-13421,Trumpet Trio,Echo Waltz,Goldman,,"Carl Fischer, Inc.",1,(piano accompaniment REQUIRED)
331-1-13422,Trumpet Trio,Air and Variations in Bb,Handel,Goldman,"Carl Fischer, Inc.",1,(piano accompaniment REQUIRED)
331-1-13423,Trumpet Trio,Pasacalle,Harmon,,"Western International Music, Inc.",1,
331-1-13424,Trumpet Trio,Triplets of the Finest,Henneberg,,"Carl Fischer, Inc.",1,(piano accompaniment REQUIRED)
331-1-13425,Trumpet Trio,Three by Three,Jones,,Shawnee Press,1,
331-1-13426,Trumpet Trio,Suite for Three Trumpets,Kelly,,Oxford University Press,1,(play three mvts)
331-1-13427,Trumpet Trio,Trumpet Trio,Muczynski,,"G. Schirmer, Inc.",1,
331-1-13428,Trumpet Trio,Trumpets of Spain,Nagel,,"Mills Music, Inc.",1,(piano accompaniment REQUIRED)
331-1-13429,Trumpet Trio,Three Trios Op. 4,Rozelli,Dishinger,Medici Music Press,1,(play all)
331-1-13430,Trumpet Trio,Bolero,Smith,,Fillmore Music House,1,
331-1-13431,Trumpet Trio,The Three Stars,Staigers,,"Carl Fischer, Inc.",1,(piano accompaniment REQUIRED)
331-1-13432,Trumpet Trio,Suite for Three Trumpets,Tomasi,,Alphonse Leduc,1,(play mvts 1 & 3 or 2 & 3)
331-2-13433,Trumpet Trio,Invention for Three Trumpets,Abaco,Moore,"Western International Music, Inc.",2,
331-2-13435,Trumpet Trio,Three of a Kind,Buchtel,,C.L. Barnhouse Company,2,
331-2-13434,Trumpet Trio,Comrades,Buchtel,,C.L. Barnhouse Company,2,
331-2-13436,Trumpet Trio,The Magic Trumpet,Burke,,"Carl Fischer, Inc.",2,
331-2-13437,Trumpet Trio,Suite Motet,Carissini,Ostrander,Qunito Maganini,2,
331-2-13438,Trumpet Trio,Flirtations,Clark,,Fillmore Music House,2,
331-2-13439,Trumpet Trio,Petits Chansons,Gretchaninoff,,G. Scott Music Publishing Company,2,
331-2-13440,Trumpet Trio,Suite for Three Trumpets,Kelly,,Oxford University Press,2,(play mvt 5)
331-2-13441,Trumpet Trio,Rubato Caprice,Kleffman,,"Rubank, Inc.",2,
