Code,Event Name,Title,Composer,Arranger,Publisher [Collection],Grade,Specification
347-3-25373,Tuba/Euphonium Quartet,Ave Verum Corpus,Mozart,Emilson,"Kendor Music, Inc.",3,
347-1-14164,Tuba/Euphonium Quartet,Prelude and Fugue in c minor,Bach,Gray,Shawnee Press,1,"(2 eup, 2 tba)"
347-1-14162,Tuba/Euphonium Quartet,Fugue in g minor,Bach,Peoples,Southern Music Company,1,"(2 eup, 2 tba)"
347-1-14165,Tuba/Euphonium Quartet,Solfeggieto,Bach,Roberts,Southern Music Company,1,"(2 eup, 2 tba)"
347-1-14163,Tuba/Euphonium Quartet,"Jesu, Joy of Man's Desiring",Bach,Thurston,Southern Music Company,1,"(2 eup, 2 tba)"
347-1-14166,Tuba/Euphonium Quartet,Three Sketches,Beadell,,The Brass Press,1,"(2 eup, 2 tba)"
347-1-14167,Tuba/Euphonium Quartet,Prelude and Voluntary,Gibbons,Self,"Wimbledon Music, Inc.",1,"(2 eup, 2 tba or 3 eup, 1 tba)"
347-1-14168,Tuba/Euphonium Quartet,Three Dances,Glasser,,Musica Rara,1,"(3 eup, 1 tba)"
347-1-14169,Tuba/Euphonium Quartet,Quartet for Tubas,Holmes,,TRN Music Publisher,1,"(2 eup, 2 tba or 3 eup, 1 tba)"
347-1-14170,Tuba/Euphonium Quartet,Canzona and Hornpipe,Israel,,Tritone Press,1,"(2 eup, 2 tba)"
347-1-14171,Tuba/Euphonium Quartet,Four Pieces,Jacob,,Cimarron Music Press/Whaling Publications,1,"(play three mvts) (2 eup, 2 tba or 3 eup, 1 tba)"
347-1-14172,Tuba/Euphonium Quartet,Melody Shop,King,Werden,Cimarron Music Press/Whaling Publications,1,"(2 eup, 2 tba)"
347-1-14173,Tuba/Euphonium Quartet,Soundings,Matchett,,RBC Publications,1,"(2 eup, 2 tba)"
347-1-14177,Tuba/Euphonium Quartet,Brass Tacks,Niehaus,,"Kendor Music, Inc.",1,"(2 eup, 2 tba)"
347-1-14175,Tuba/Euphonium Quartet,A Whale's Tale,Niehaus,,"Kendor Music, Inc.",1,"(2 eup, 2 tba or 3 eup, 1 tba)"
347-1-14178,Tuba/Euphonium Quartet,Quartet for Tubas,Payne,,Shawnee Press,1,(play one mvt) (4 tba)
347-1-14179,Tuba/Euphonium Quartet,Four Quartets,Reicha,Werden,Cimarron Music Press/Whaling Publications,1,"(play all) (2 eup, 2 tba)"
347-1-14181,Tuba/Euphonium Quartet,Toccata,Schooley,,Hiel,1,"(2 eup, 2 tba)"
347-1-14180,Tuba/Euphonium Quartet,Cherokee,Schooley,,Heilman Music,1,"(2 eup, 2 tba, or 3 tbn, 1 tba)"
347-1-14182,Tuba/Euphonium Quartet,Piece in Folk Style,Schumann,Werden,Cimarron Music Press/Whaling Publications,1,"(2 eup, 2 tba or 3 eup, 1 tba)"
347-1-14183,Tuba/Euphonium Quartet,Ronde and Salterelle,Susato,Winter,Cimarron Music Press/Whaling Publications,1,"(2 eup, 2 tba or 3 eup, 1 tba)"
347-1-14184,Tuba/Euphonium Quartet,Promenade,Vasconi,,Southern Music Company,1,"(2 eup, 2 tba)"
347-1-14185,Tuba/Euphonium Quartet,Songs of the British Isles,Anon. or Trad.,Werden,Cimarron Music Press/Whaling Publications,1,"(2 eup, 2 tba)"
347-2-14186,Tuba/Euphonium Quartet,Lute Dances,Baker,,The Brass Press,2,"(2 eup, 2 tba)"
