Code,Event Name,Title,Composer,Arranger,Publisher [Collection],Grade,Specification
305-1-25361,Tuba Solo,Recit et Theme Varie,Busser,Ballarin,International Music Diffusion,1,
305-1-13203,Tuba Solo,Fantasy for Tuba,Arnold,,"Faber Music, Ltd.",1,(unaccomp) NMR:(play all)
305-1-13204,Tuba Solo,Air and Bourree,Bach,Bell,"Carl Fischer, Inc.",1,
305-1-13205,Tuba Solo,Introduction and Dance,Barat,Smith,Southern Music Company,1,
305-1-13206,Tuba Solo,Variations on the Theme of Judas Maccabeus,Beethoven,Bell,"Carl Fischer, Inc.",1,
305-1-13207,Tuba Solo,Concertino for Tuba and Band,Bencriscutto,,Shawnee Press,1,
305-1-13208,Tuba Solo,Sonata,Beversdorf,,Southern Music Company,1,(play mvts 1 & 2) NMR:(play mvts 1 & 2)
305-1-13209,Tuba Solo,Andante and Rondo,Capuzzi,Catelinet,Hinrichsen Edition,1,
305-1-13210,Tuba Solo,Concertino,Frackenpohl,,Robert King,1,
305-1-13211,Tuba Solo,Sonata for Tuba and Piano,Frackenpohl,,"Kendor Music, Inc.",1,(play two mvts) NMR:(play two mvts)
305-1-13212,Tuba Solo,Variations for Tuba and Piano,Frackenpohl,,Shawnee Press,1,
305-1-13213,Tuba Solo,Ricercar,Gabrieli,Morris,Shawnee Press,1,(unaccomp)
305-1-13214,Tuba Solo,Tuba Concerto,Gregson,,Novello Publications Inc.,1,(play one mvt)
305-1-13215,Tuba Solo,Tuba Rhapsody,Grundman,,"Boosey & Hawkes, Inc.",1,
305-1-13216,Tuba Solo,Suite for Tuba,Haddad,,"Templeton Publishing Company, Inc.;Shawnee Press",1,(play mvts 1 & 2 OR 2 & 3)
305-2-13217,Tuba Solo,Larghetto and Allegro,Handel,Little,"Belwin, Inc",2,
305-1-13218,Tuba Solo,Sonata No. 6,Handel,Morris,Shawnee Press,1,
305-1-13219,Tuba Solo,Sonata for Tuba and Piano,Hartley,,Theodore Presser Company,1,(play two mvts)
305-1-13220,Tuba Solo,Sonatina,Hartley,,Interlochen Press,1,play all NMR:(play all)
305-1-13221,Tuba Solo,Suite for Unaccompanied Tuba,Hartley,,Theodore Presser Company,1,(unaccomp)
305-1-13222,Tuba Solo,Sonata for Tuba,Hindemith,,Schott Company,1,(play two mvts)
305-1-13223,Tuba Solo,Lento,Holmes,,Shawnee Press,1,
305-1-13224,Tuba Solo,Sonatina for Tuba and Piano,Koetsier,,C.F. Peters Corporation,1,(play two mvts)
305-1-13225,Tuba Solo,Concerto in One Movement,Lebedev,Ostrander,"Edition Musicus-New York, Inc.",1,Same piece as Concerto No. 1
305-1-13226,Tuba Solo,Sonata No. 1,Marcello,Little,Southern Music Company,1,(play all)
305-1-13227,Tuba Solo,Sonata No. 5,Marcello,Little,Southern Music Company,1,(play all)
305-2-13228,Tuba Solo,"Alleluja, Exultate",Mozart,Matthews,Wingert/Jones,2,
305-1-13229,Tuba Solo,Serenade,Mozart,Morris,Shawnee Press,1,(play mvt 1 or 4 plus one other mvt)
305-1-13230,Tuba Solo,Impromptus,Muczynski,,"G. Schirmer, Inc.",1,(unaccomp)
305-1-13231,Tuba Solo,Concertpiece,Painpare,,"Rubank, Inc.",1,
305-1-13232,Tuba Solo,Serenade,Schmidt,,Avant Music Company,1,
305-1-13233,Tuba Solo,Serenata for Tuba and Piano,Schooley,,Glouchester Press,1,
305-1-13234,Tuba Solo,Concertino,Shaugnessy,,Southern Music Publishing Company,1,(play mvts 1 & 2 or 2 & 3)
305-1-13235,Tuba Solo,Sonata,Skolnik,,Tenuto Publications,1,(play mvt 1 or mvts 2 & 3)
