Code,Event Name,Title,Composer,Arranger,Publisher [Collection],Grade,Specification
402-2-23406,Viola Solo,Landler,Schubert,Errante,Shawnee Press [A Viola Player's Solo Album],2,(must also play one additional selection from this collection)
402-1-16328,Viola Solo,Concerto No. 1,Accolay,Doty,"G. Schirmer, Inc.",1,
402-1-23960,Viola Solo,Allegretto Grazioso,Bach,Doktor,CiS [Solos for the Viola Player],1,
402-1-23959,Viola Solo,Choral Prelude (O Mensch bewein Dein Sunde gross),Bach,Doktor,CiS [Solos for the Viola Player],1,
402-1-16330,Viola Solo,Sonata in c minor,Bach,Pessl,Oxford University Press,1,(play one mvt)
402-1-16331,Viola Solo,Sonata No. 1,Bach,,Any unabridged edition,1,(play two contrasting mvts)
402-1-16332,Viola Solo,Sonata No. 2,Bach,,Any unabridged edition,1,"(play mvt 2, 3 or 4)"
402-1-16333,Viola Solo,Sonata No. 3,Bach,,Any unabridged edition,1,(play mvt 1 or 3)
402-1-16334,Viola Solo,Sonatas and Partitas for Solo Viola,Bach,,Any unabridged edition,1,(play one mvt from a partita or Sonata)
402-1-16329,Viola Solo,Suite I,Bach,,Any unabridged edition,1,"(unaccomp; play two mvts, 2 Minuettos count as 1 mvt)"
402-1-23954,Viola Solo,Suite II,Bach,,Any unabridged edition,1,"(unaccomp; play two mvts, 2 Minuettos count as 1 mvt)"
402-1-23955,Viola Solo,Suite III,Bach,,Any unabridged edition,1,"(unaccomp; play two mvts, 2 Bourrees count as 1 mvt)"
402-1-23956,Viola Solo,Suite IV,Bach,,Any unabridged edition,1,"(unaccomp; play two mvts, 2 Bourrees count as 1 mvt)"
402-1-23957,Viola Solo,Suite V,Bach,,Any unabridged edition,1,"(unaccomp; play two mvts, 2 Gavottes count as 1 mvt)"
402-1-23958,Viola Solo,Suite VI,Bach,,Any unabridged edition,1,"(unaccomp; play two mvts, 2 Gavottes count as 1 mvt)"
402-1-16335,Viola Solo,Concerto in c minor,Bach,,Any unabridged edition,1,(play one mvt)
402-1-16336,Viola Solo,Romance in F Op. 50,Beethoven,Jensen,Augener (London),1,
402-1-16337,Viola Solo,Sonata Op. 5 No. 2,Beethoven,Bridges,RBP Music Publishers,1,(play two contrasting mvts)
402-1-16338,Viola Solo,Meditation and Processional,Bloch,,"G. Schirmer, Inc.",1,
402-1-16339,Viola Solo,Suite,Bloch,,"G. Schirmer, Inc.",1,(play one mvt)
402-1-16340,Viola Solo,Sonate c-moll,Boccherini,Koch,"B. Schott's Sohne, Mainz",1,(play mvt 1)
402-1-16341,Viola Solo,Lachrymae,Britten,,"Boosey & Hawkes, Inc.",1,
402-1-16342,Viola Solo,Romanze Op. 85 (Romanza Op. 85),Bruch,,"B. Schott's Sohne, Mainz;Summy/Birchard",1,
402-1-16343,Viola Solo,Sonata,Burton,,"Carl Fischer, Inc.",1,(play one mvt)
402-1-16344,Viola Solo,Elegy,Carter,,Peer/Southern Organization,1,
402-1-16345,Viola Solo,Viola Concerto in C Major,Chandoschkin,,C.F. Peters Corporation;Summy/Birchard,1,(play mvt 1 or 3)
402-2-23961,Viola Solo,Tambourin,d'Hervelois,Doktor,CiS [Solos for the Viola Player],2,
402-1-16346,Viola Solo,Sonatine,Diabelli,Baechi,Verlag von Hug & Co.,1,(play mvt 1 or 3)
402-1-23965,Viola Solo,Larghetto,Dvorak,Forbes,Oxford University Press [Classical and Romantic Pieces],1,
402-1-16348,Viola Solo,Sonata in g minor,Eccles,,International Music Company;C.F. Peters Corporation,1,(play two contrasting mvts)
402-1-16349,Viola Solo,Sonata in C Major,Fasch,Doktor,McGinnis & Marx,1,(play two contrasting mvts)
402-2-16350,Viola Solo,Allegro,Fiocco,Arnold/Lincer,Viola World Publications;Summy/Birchard,2,
402-1-16352,Viola Solo,Sonata in d minor,Glinka,,Musica Rara,1,(mvt 1)
402-1-16353,Viola Solo,Sonata in c minor,Graun,Muller,Sikorski,1,(play one)
402-1-23969,Viola Solo,Two Elegiac Melodies,Grieg,Forbes,Oxford University Press [Classical and Romantic Pieces],1,
402-1-16354,Viola Solo,Sonata in D Major,Hammer,,"Edition Musicus-New York, Inc.",1,"(play mvt 1, 2 or 4)"
402-1-16355,Viola Solo,Concerto for Viola,Handel,Barbirolli,Oxford University Press,1,(play two contrasting mvts)
402-1-16356,Viola Solo,Concerto in b minor,Handel,Casadesus,Maxima Press;Summy/Birchard,1,(play one mvt)
402-1-16357,Viola Solo,Concerto in Bb Major,Handel,Arnold,Viola World Publications,1,(play Andante or Allegro)
402-2-23967,Viola Solo,Giga,Handel,Forbes,Oxford University Press [Classical and Romantic Pieces],2,
402-1-16358,Viola Solo,Sonata in e minor,Handel,Courte,Henri Elkan,1,(play two contrasting mvts)
402-1-16359,Viola Solo,Sonata in g minor,Handel,Dart,Schott Company,1,(play all)
402-1-16360,Viola Solo,Sonata in G. Op. 1 No. 13,Handel,Forbes,Oxford University Press,1,(play two contrasting mvts)
402-1-16361,Viola Solo,Concerto,Handoshkin,,International Music Company,1,(play mvt 1 or 3; cadenza may be omitted in mvt 1)
402-1-16363,Viola Solo,Sonate Op. 25 No. 4,Hindemith,,Schott Company,1,"(play mvt 1, 2 or 3) NMR:(play two mvts.)"
402-1-16364,Viola Solo,Trauermusik,Hindemith,Willms,Schott Company,1,(play all)
