Code,Event Name,Title,Composer,Arranger,Publisher [Collection],Grade,Specification
441-2-17036,Violin Quartets,Pavane,Ravel,Gearhart/Green,Shawnee Press [Fiddle Sessions],2,
441-1-17209,Violin Quartets,Three Pieces Op. 178,Dancla,Saenger,"Carl Fischer, Inc.",1,(play one)
441-1-24472,Violin Quartets,Morning Mood (from Peer Gynt Suite),Grieg,Auer/Saenger,"Carl Fischer, Inc. [Musical Masterpieces, Book 6]",1,(piano opt)(POP)
441-1-17208,Violin Quartets,Minuet and Gavotte (from Pagliacci),Leoncavallo,Auer/Saenger,"Carl Fischer, Inc. [Musical Masterpieces, Book 6]",1,(piano opt)(POP)
441-1-17210,Violin Quartets,Concerto in D for 4 Violins,Telemann,Engel,International Music Company,1,(play 2 contrasting mvts)
441-1-17211,Violin Quartets,Concerto in G for 4 Violins,Telemann,,Amadeus Verlag,1,(play 2 contrasting mvts)
441-1-17212,Violin Quartets,Concerto in b minor for 4 Violins,Vivaldi,Bouvet/Gingold,International Music Company,1,(play mvt 1 or 3) (requires piano accomp)
441-1-17213,Violin Quartets,Concerto in Bb,Vivaldi,Ochlewski,Polish Music Publications,1,(play first or last mvt) (requires piano accomp)
441-2-17214,Violin Quartets,Rendezvous,Aletter,Isaac,"Belwin, Inc [Strings in Recital]",2,(requires piano accomp)
441-2-24484,Violin Quartets,Two Finnish Folk-Songs,Anon. or Trad.,Auer/Saenger,"Carl Fischer, Inc. [Musical Masterpieces, Book 6]",2,(piano opt)(POP)
441-2-17217,Violin Quartets,Bourree,Bach,Isaac,"Belwin, Inc [Strings in Recital]",2,(requires piano accomp)
441-2-17218,Violin Quartets,"Jesu, Joy of Man's Desiring",Bach,Thurston,Southern Music Company,2,
441-2-17219,Violin Quartets,My Heart Ever Faithful,Bach,Isaac,"Belwin, Inc [Strings in Recital]",2,(requires piano accomp)
441-2-17220,Violin Quartets,Allegretto (from Symphony No. 7),Beethoven,Clemens,Concord Music Publishing Company,2,(requires piano accomp)
441-2-24478,Violin Quartets,Menuet,Beethoven,Auer/Saenger,"Carl Fischer, Inc. [Musical Masterpieces, Book 6]",2,(piano opt)(POP)
441-2-24483,Violin Quartets,Contre-Dances,Beethoven/Seiss,Auer/Saenger,"Carl Fischer, Inc. [Musical Masterpieces, Book 6]",2,(piano opt)(POP)
441-2-17221,Violin Quartets,"La Zingana, Danse Hongroise",Bohm,Saenger,"Carl Fischer, Inc.",2,(requires piano accomp)
441-2-17222,Violin Quartets,Allegretto Grazioso (from Symphony No. 2),Brahms,Clemens,Concord Music Publishing Company,2,(piano opt)
441-2-17223,Violin Quartets,Air Varie,Dancla,Harris,"Carl Fischer, Inc.",2,
441-2-17224,Violin Quartets,La Spagnola,Di Chiara,Isaac,"Belwin, Inc [Strings in Recital]",2,(requires piano accomp)
441-2-24479,Violin Quartets,Air Melodieux,Dont,Auer/Saenger,"Carl Fischer, Inc. [Musical Masterpieces, Book 6]",2,(piano opt)(POP)
441-2-17225,Violin Quartets,Larghetto,Dont,,"Carl Fischer, Inc.",2,
441-2-17226,Violin Quartets,Erotikon,Grieg,Isaac,"Belwin, Inc [Strings in Recital]",2,(requires piano accomp)
441-2-17227,Violin Quartets,Norwegian Dance Op. 35 No. 2,Grieg,Ambrosio,"Carl Fischer, Inc.",2,(requires piano accomp)
441-2-17228,Violin Quartets,Allegro (from Concerto Grosso Op. 3 No. 4),Handel,Dishinger,Medici Music Press,2,
441-2-17237,Violin Quartets,Finale (from A String Quartet),Haydn,Watters/Pyle,"Mills Music, Inc. [A Book of Violin Quartets]",2,(piano opt)
441-2-24485,Violin Quartets,Serenade,Haydn,Watters/Pyle,"Mills Music, Inc. [A Book of Violin Quartets]",2,(piano opt)
441-2-17229,Violin Quartets,Gypsy Love Song,Herbert,Isaac,"Belwin, Inc [Strings in Recital]",2,(requires piano accomp)
441-2-17215,Violin Quartets,A la Gavotte,Karganoff,Auer/Saenger,"Carl Fischer, Inc. [Classic Repertoire, Book 5]",2,(piano opt)
441-2-17230,Violin Quartets,Gavotte in Rondeau,Lully,Post,Medici Music Press,2,
441-2-24474,Violin Quartets,Hopak,Moussorgsky,Auer/Saenger,"Carl Fischer, Inc. [Classic Repertoire, Book 5]",2,(piano opt)
441-2-24486,Violin Quartets,Air (from Don Giovanni),Mozart,Watters/Pyle,"Mills Music, Inc. [A Book of Violin Quartets]",2,(piano opt)
441-2-17231,Violin Quartets,Allegro Vivace (from Jupiter Symphony),Mozart,Clemens,Concord Music Publishing Company,2,
