Code,Event Name,Title,Composer,Arranger,Publisher [Collection],Grade,Specification
431-1-17018,Violin Trio,"Trio-Cosmos, Trio No. 13",Badings,,"B. Schott's Sohne, Mainz",1,(play one mvt)
431-1-17019,Violin Trio,Hopak,Moussorgsky,Gearhart/Green,Shawnee Press [Fiddle Sessions],1,
431-1-17020,Violin Trio,"Adagio, Minuet and Rondo K. 356",Mozart,,C.F. Peters Corporation,1,(play one)
431-1-17021,Violin Trio,Suite,Telemann,Lyman,International Music Company,1,(play three mvts)
431-1-17022,Violin Trio,"Concerto for 3 Violins, Op. 23, #1 RV 551",Vivaldi,Gingold,International Music Company,1,(play one mvt) (requires piano accomp)
431-2-17023,Violin Trio,"Trio-Cosmos, Trio No. 7",Badings,,"B. Schott's Sohne, Mainz",2,(play one mvt)
431-2-17024,Violin Trio,"Trio-Cosmos, Trio No. 8",Badings,,"B. Schott's Sohne, Mainz",2,(play one mvt)
431-2-17025,Violin Trio,"Trio-Cosmos, Trio No. 9",Badings,,"B. Schott's Sohne, Mainz",2,(play one mvt)
431-2-17026,Violin Trio,Canons and Rounds,Anon. or Trad.,Berlinski,Weaner/Levant Publications,2,(play two 3 part selections)
431-2-17027,Violin Trio,Gigue,Corelli,Maganini,"Edition Musicus-New York, Inc.",2,(requires piano accomp)
431-2-17028,Violin Trio,Bon Vivant,Dont,Barnes,Ludwig Music Publishing Company,2,(etude # 24) (requires piano accomp)
431-2-17029,Violin Trio,Suite in F,Graupner,,C.F. Peters Corporation,2,(play Overture or two short mvts)
431-2-17030,Violin Trio,Fugue,Haydn,Gearhart/Green,Shawnee Press [Fiddle Sessions],2,
431-2-17031,Violin Trio,Sonatinas,Hook,Curwin,Chappell Music Company,2,(play one)
431-2-17032,Violin Trio,Three Visions for Violins,Jacobson,,"Mills Music, Inc.",2,(play two)
431-2-17033,Violin Trio,Aria,Locatelli,Forst,"Edition Musicus-New York, Inc.",2,(requires piano accomp)
