Code,Event Name,Title,Composer,Arranger,Publisher [Collection],Grade,Specification
108-1-33423,Vocal Solo,Il fervido desiderio,Bellini,,"Ricordi & Company, Inc. [15 Composizoni da Camera]",1,
108-2-33683,Vocal Solo,A Mi Madre,Alvarez,,Scarecrow Press Inc [Canciones de Espana],2,
108-1-32701,Vocal Solo,Warnung,Mozart,,Edwin F. Kalmus [Mozart Songs],1,
108-1-32713,Vocal Solo,Die Mainacht,Brahms,,"Alfred Music Company, Inc. [Gateway To German Lieder];Hal Leonard Music, Inc. [The Lieder Anthology]",1,
108-1-32700,Vocal Solo,Je Demande a l'oiseau,Beach,,Southern Music Company [Five Songs on French and German Texts],1,
108-1-32712,Vocal Solo,Wir Wandelten,Brahms,,"Alfred Music Company, Inc. [Gateway To German Lieder];Faber Music, Ltd. [The Language of Song]",1,
108-1-33732,Vocal Solo,"Come Away, Come Away Death",Finzi,,"Boosey & Hawkes, Inc. [Collected Songs: 44 songs Gerald Finzi]",1,
108-1-21608,Vocal Solo,The Cloths Of Heaven,Dunhill,,"G. Schirmer, Inc.",1,
108-1-19083,Vocal Solo,The Holy City,Adams,Weatherly,"Hal Leonard Music, Inc. [The Sacred Collection]",1,
108-2-19085,Vocal Solo,Jeunes Fillettes,Anon. or Trad.,,"J&W Chester, Ltd. [The Chester Books of Celebrated Songs, Book 1]",2,
108-2-19087,Vocal Solo,Star Vicino,Anon. or Trad.,,"Alfred Music Company, Inc. [Twenty-Six Italian Songs and Arias]",2,
108-1-19088,Vocal Solo,Ave Maria,Bach,Gounod,"Hal Leonard Music, Inc. [The Sacred Collection]",1,
108-2-19089,Vocal Solo,Be Thou With Them,Bach,,Lawson-Gould Music Publishing Company [Solos for the Church Year],2,
108-1-19091,Vocal Solo,Bist Du Bei Mir,Bach,,"Belwin, Inc [Pathways of Song, Volume 2];Hal Leonard Music, Inc. [The First Book of Mezzo-Soprano/Alto Solos - Part II]",1,
108-1-19093,Vocal Solo,Mein Glaubiges Herze,Bach,,"G. Schirmer, Inc. [Second Book of Soprano Solos, The]",1,
108-2-19094,Vocal Solo,The Goodness of God,Bach,,Lawson-Gould Music Publishing Company [Solos for the Church Year],2,
108-1-19095,Vocal Solo,A Nun Takes the Veil,Barber,,"G. Schirmer, Inc. [First Book of Soprano Solos, The, Part II]",1,
108-1-19097,Vocal Solo,Sure On This Shining Night,Barber,,"G. Schirmer, Inc. [Four Songs, Op. 13]",1,
108-1-19099,Vocal Solo,The Monk and His Cat,Barber,,"G. Schirmer, Inc. [Fifteen American Art Songs]",1,
108-1-19100,Vocal Solo,Meadow-Larks,Beach,,"G. Schirmer, Inc. [New Anthology of American Song, A]",1,
108-1-19101,Vocal Solo,Ich liebe dich,Beethoven,,"G. Schirmer, Inc. [First Book of Soprano Solos, The, Part II];G. Schirmer, Inc. [Fifty-Six Songs You Like to Sing];Hal Leonard Music, Inc. [The Lieder Anthology]",1,
108-1-19103,Vocal Solo,Mignon,Beethoven,,"Belwin, Inc [Fifty-Seven Classic Period Songs]",1,
108-1-19104,Vocal Solo,L'abbandono,Bellini,,"Hal Leonard Music, Inc. [15 Composizioni Da Camera]",1,
108-1-19105,Vocal Solo,"Malinconia, Ninfa gentile",Bellini,,"Hal Leonard Music, Inc. [15 Composizioni Da Camera]",1,
108-1-19106,Vocal Solo,"Vaga luna, che inargenti",Bellini,,"Hal Leonard Music, Inc. [15 Composizioni Da Camera];Faber Music, Ltd. [The Language of Song]",1,
108-1-19107,Vocal Solo,"Vanne, o rosa fortunata",Bellini,,"Hal Leonard Music, Inc. [15 Composizioni Da Camera]",1,
108-1-19108,Vocal Solo,L'Amour s'envole (Bergerettes-Pastoral Dittes),Weckerlin,Spaeth,"G. Schirmer, Inc. [Twenty Romances and Songs of the 18th Century]",1,
108-1-19109,Vocal Solo,Menuet d'Exaudet (Bergerettes-Pastoral Dittes),Weckerlin,Spaeth,"G. Schirmer, Inc. [Twenty Romances and Songs of the 18th Century]",1,
108-1-19110,Vocal Solo,"Non, je n'erai plus au bois (Bergerettes-Pastoral Dittes)",Weckerlin,Spaeth,"G. Schirmer, Inc. [Twenty Romances and Songs of the 18th Century]",1,
108-1-19112,Vocal Solo,Deep In My Heart,Bishop,Rowley,"Boosey & Hawkes, Inc. [Mezzo-Soprano Songs-New Imperial Edition]",1,
108-1-19113,Vocal Solo,Should He Upbraid,Bishop,,"Boosey & Hawkes, Inc. [Soprano Songs-New Imperial Edition]",1,
108-2-19115,Vocal Solo,Calm as the Night,Bohm,,"G. Schirmer, Inc. [Fifty-Six Songs You Like to Sing]",2,
108-2-19117,Vocal Solo,Dream Variations,Bonds,,"Marks Music Corporation [Anthology of Art Songs by Black American Composers];G. Schirmer, Inc. [Anthology of Art Songs by Black Composers]",2,
108-1-19118,Vocal Solo,Minstrel Man,Bonds,,"Marks Music Corporation [Anthology of Art Songs by Black American Composers];G. Schirmer, Inc. [Anthology of Art Songs by Black Composers]",1,
108-1-19123,Vocal Solo,Der Fruhling,Brahms,,"Boosey & Hawkes, Inc. [Mezzo-Soprano Songs-New Imperial Edition]",1,
108-1-19129,Vocal Solo,"O komme, holde Sommernacht",Brahms,,"G. Schirmer, Inc. [Fifty Selected Songs]",1,
108-1-19130,Vocal Solo,Standchen,Brahms,,"G. Schirmer, Inc. [Fifty Selected Songs]",1,
108-1-19138,Vocal Solo,Ain't-a That Good News!,Brown,,Lorenz Corporation [O Redeemed! (A Set of African-American Spirituals)],1,
108-1-19139,Vocal Solo,O Redeemed!,Brown,,Lorenz Corporation [O Redeemed! (A Set of African-American Spirituals)],1,
108-2-19143,Vocal Solo,Ev'ry Time I Feel De Spirit,Burleigh,,"Belwin, Inc [Spirituals of H.T. Burleigh, The]",2,
108-1-19145,Vocal Solo,Occhi immortali,Caccini,,"Wilhelm Hansen [La Flora, Volume Primo];International Music Company [Italian Songs of the 17th and 18th Centuries, Volume 2]",1,
108-1-19146,Vocal Solo,The Crying of Water,Campbell,Tipton,"G. Schirmer, Inc. [New Anthology of American Song, A]",1,
108-1-19149,Vocal Solo,The Sleep That Flits On Baby's Eyes,Carpenter,,"G. Schirmer, Inc. [Gitanjali]",1,
108-1-19151,Vocal Solo,When I Bring to You Colour'd Toys,Carpenter,,"G. Schirmer, Inc. [Contemporary Art Songs]",1,
108-1-19152,Vocal Solo,"And So, Goodbye",Charles,,"G. Schirmer, Inc. [New Anthology of American Song, A]",1,
108-1-19156,Vocal Solo,Segador,Chavez,,"G. Schirmer, Inc. [Contemporary Art Songs]",1,
108-1-19157,Vocal Solo,Quella Barbara Catena,Ciampi,,"G. Schirmer, Inc. [First Book of Soprano Solos, The, Part II]",1,
108-1-19162,Vocal Solo,Beau Soir,Debussy,,"G. Schirmer, Inc. [Fifty-Six Songs You Like to Sing];Hal Leonard Music, Inc. [The French Song Anthology];Music Sales Corp. [Art Song, The];Hal Leonard Music, Inc. [The Art Song Anthology]",1,
108-1-19165,Vocal Solo,Romance,Debussy,,"G. Schirmer, Inc. [First Book of Soprano Solos, The (Part 2)]",1,
108-1-19167,Vocal Solo,"Bonjour, Suzon!",Delibes,,"Music Sales Corp. [Art Song, The];G. Schirmer, Inc. [Anthology of Modern French Songs];R.D. Row Music Company [Young Singer, The, Book 1, Soprano]",1,
108-1-19170,Vocal Solo,"Ah, mai non cessate",Donaudy,,"Ricordi & Company, Inc. [Thirty Six Arie Di Stile Antico, Series I]",1,
108-1-19171,Vocal Solo,Date abbiento al mio dolore,Donaudy,,"Ricordi & Company, Inc. [Thirty Six Arie Di Stile Antico, Series I]",1,
