Code,Event Name,Title,Composer,Arranger,Publisher [Collection],Grade,Specification
241-1-11715,Woodwind Quartet,"Prelude XIV, Vol. 2",Bach,Kessler,"Rubank, Inc.",1,"(fl, ob, cl, bsn)"
241-1-11716,Woodwind Quartet,Contra Dance,Beethoven,Hahn,Fillmore Music House,1,"(fl, ob, cl, bsn)"
241-1-11717,Woodwind Quartet,Quartet in C Major,Berger,,C.F. Peters Corporation,1,"(fl, ob, cl, bsn)"
241-1-11718,Woodwind Quartet,Homage to D.S.,Block,,Brightstar Music Publishers,1,"(fl, ob, cl, bsn)"
241-1-11719,Woodwind Quartet,Danse Villageoise,Chabrier,Schmidt,"Western International Music, Inc.",1,"(fl, ob, cl, bsn)"
241-1-11720,Woodwind Quartet,Quatuor,Francaix,,Schott Company,1,"(play two mvts) (fl, ob, cl, bsn)"
241-1-11721,Woodwind Quartet,Miniature Procession,Gladkovsky,Schmidt,"Western International Music, Inc.",1,"(fl, ob, cl, bsn)"
241-1-11722,Woodwind Quartet,Quartet Op. 93,Goepfart,Andraud,Southern Music Company,1,"(play one mvt) (fl, ob, cl, bsn)"
241-1-11723,Woodwind Quartet,Diversion for Woodwind Quartet,Harris,,Rongwen Bros. Music Company,1,"(fl, ob, cl, bsn)"
241-1-11724,Woodwind Quartet,Theme and Variations,Haydn,Hahn,Fillmore Music House,1,"(omit one Variation) (fl, ob, cl, bsn)"
241-1-11725,Woodwind Quartet,Four Old Tunes,Jacob,,Emerson Editions,1,"(fl, ob, cl, bsn)"
241-1-11726,Woodwind Quartet,Serenade for Woodwinds,Kantor,,"JTL Publications, G. Scott Music Publishing Co.",1,"(play two mvts) (fl, ob, cl, bsn)"
241-1-11727,Woodwind Quartet,Andante in F Major K.616,Mozart,Munclinger,International Music Company,1,"(fl, ob, cl, bsn)"
241-1-11728,Woodwind Quartet,Divertimento K. 251,Mozart,Gee,Pro-Art Publications,1,(any published combination)
241-1-11729,Woodwind Quartet,Three Show Tunes,Parfrey,,"Kendor Music, Inc.",1,"(play all) (fl, ob, cl, bsn)"
241-1-11730,Woodwind Quartet,Fleeting Moments,Prokofiev,,"Carl Fischer, Inc.",1,"(play both mvts) (fl, ob, cl, bsn)"
241-1-11731,Woodwind Quartet,Scarlattiana,Scarlatti,Rosenthal,"Western International Music, Inc.",1,"(play all) (fl, ob, cl, bsn)"
241-1-11732,Woodwind Quartet,Novellette,Uber,,"Alry Publications, Etc. Inc.",1,"(fl, ob, cl, bsn)"
241-2-11734,Woodwind Quartet,Bourree,Bach,Rice/Young,"Alry Publications, Etc. Inc.",2,"(fl, ob, cl, bsn)"
241-2-11733,Woodwind Quartet,Air (from Suite No. 3),Bach,Schmidt,"Western International Music, Inc.",2,"(fl, ob, cl, bsn)"
241-2-11735,Woodwind Quartet,Ricecare in the Twelfth Mode,Gabrieli,Meyer,Medici Music Press,2,"(fl, ob, cl, bsn)"
241-2-11736,Woodwind Quartet,"Andante (from Symphony No. 94, Surprise Symphony)",Haydn,Ostling,"Belwin, Inc",2,"(fl, ob, cl, bsn)"
241-2-11737,Woodwind Quartet,Menuet,Haydn,Seay,Jack Spratt Music Publishers,2,"(fl, ob, cl, bsn)"
241-2-11738,Woodwind Quartet,November Song,Isaacson,,"Alry Publications, Etc. Inc.",2,"(fl, ob, cl, bsn)"
241-2-11739,Woodwind Quartet,Fleeting Moments,Prokofiev,,"Carl Fischer, Inc.",2,"(play one mvt) (fl, ob, cl, bsn)"
241-2-11740,Woodwind Quartet,Scarlattiana,Scarlatti,Rosenthal,"Western International Music, Inc.",2,"(play two mvts) (fl, ob, cl, bsn)"
241-2-11741,Woodwind Quartet,Telemann Minuets,Telemann,Polnauer,"Elkan-Vogel Company, Inc.",2,"(play two) (fl, ob, cl, bsn)"
241-3-11742,Woodwind Quartet,Three Easy Quartets,Brahms,Hunter,Schott Company,3,"(play two) (fl, ob, cl, bsn)"
241-3-11743,Woodwind Quartet,Scarf Dance,Chaminade,Guenther,"Belwin, Inc",3,"(fl, ob, cl, bsn)"
241-3-11744,Woodwind Quartet,Scherzino,Erickson,,"Belwin, Inc",3,"(fl, ob, cl, bsn)"
241-3-11745,Woodwind Quartet,Petite Fugue,Handel,Ostling,"Belwin, Inc",3,"(fl, ob, cl, bsn)"
241-3-11746,Woodwind Quartet,Telemann Minuets,Telemann,Polnauer,"Elkan-Vogel Company, Inc.",3,"(play one) (fl, ob, cl, bsn)"
241-1-12192,Woodwind Quartet,Contrapunctus XII,Bach,Ramm,Medici Music Press,1,"(fl, ob, cl, hn)"
241-1-12195,Woodwind Quartet,Sarabande and Double (from English Suite No. 6 in d minor),Bach,Reed,"Kendor Music, Inc.",1,"(ob, 2 b-flat cl, bsn)"
241-1-12217,Woodwind Quartet,Serenade for Unknown Friends,Lamb,,Dorn Publishing Co.,1,"(ob, cl, t sax, piano)"
241-1-12219,Woodwind Quartet,Cassazione,Mozart,Andraud,Southern Music Company,1,"(ob or fl, cl, hn, bsn) (play first or last mvt plus one other mvt)"
