Code,Event Name,Title,Composer,Arranger,Publisher [Collection],Grade,Specification
251-1-12074,Woodwind Quintet,Two Short Quintets,Anon. or Trad.,Andraud,Southern Music Company,1,(play both)
251-1-12075,Woodwind Quintet,Three Shanties for Wind Quintet,Arnold,,Novello Publications Inc.,1,(play first or last mvt)
251-1-12077,Woodwind Quintet,"Fugue XXII, Vol. 1 (from WTC)",Bach,Kessler,"Rubank, Inc.",1,
251-1-12078,Woodwind Quintet,Sinfonia in b minor (from Ross Taylor Quintets),Bach,Taylor,Southern Music Company,1,
251-1-12076,Woodwind Quintet,Air and Gigue,Bach,Vollmers,Neil A. Kjos Music Company,1,
251-1-12079,Woodwind Quintet,Passacaille,Barthe,Andraud,Southern Music Company,1,
251-1-12080,Woodwind Quintet,Divertimento for Woodwind Quintet,Bartow,,Shawnee Press,1,(play Overture only)
251-1-12081,Woodwind Quintet,Quintet in Eb,Beethoven,Philadelphia Ww. Qnt.,Theodore Presser Company,1,(play mvt 1 or 4)
251-1-12082,Woodwind Quintet,Rondino,Beethoven,Ramm,Medici Music Press,1,
251-1-12083,Woodwind Quintet,Rondo in F,Beethoven,Taylor,"Cundy-Bettoney Company, Inc.",1,
251-1-34417,Woodwind Quintet,Bagatelles,Benjamin,,Southern Music Company,1,(play1st & 2nd OR 2nd & 3rd)
251-1-12084,Woodwind Quintet,Carmen Suite,Bizet,Holcombe,Musicians Publications,1,(play mvts 1 & 3 or 2 & 3)
251-1-12086,Woodwind Quintet,Allegretto Grazioso,Brahms,Sadilek,Southern Music Company,1,(play all)
251-1-34416,Woodwind Quintet,Allegro Arioso for Five Wind Instruments,Dahl,,McGinnis & Marx,1,(play one mvt)
251-1-12088,Woodwind Quintet,Six Pieces for Woodwind Quintet,Brubeck,,Shawnee Press,1,"(play two from mvts 1, 3, & 6 plus one other mvt)"
251-1-12089,Woodwind Quintet,Quintet No. 3,Cambini,,McGinnis & Marx;Dorn Publishing Co.,1,(play mvt 1 or 3)
251-1-12090,Woodwind Quintet,Four Elizabethan Pieces,Cantrell,,"JTL Publications, G. Scott Music Publishing Co.",1,(play two mvts)
251-1-12091,Woodwind Quintet,Three Constructions for Woodwind Quintet Op. 38,Cazden,,Jack Spratt Music Publishers,1,(play mvt 1 or 2)
251-1-12093,Woodwind Quintet,Quintet for Wind Instruments Bb Major Op. 56 No. 1,Danzi,,F.E.C. Leuckart;Musica Rara,1,"(play mvt 1 or two mvts from 2, 3, & 4)"
251-1-12094,Woodwind Quintet,Quintet in d minor Op. 68 No. 3,Danzi,,Musica Rara,1,(play one mvt)
251-1-12092,Woodwind Quintet,Allegretto (from Quintet in g minor),Danzi,Waln,Neil A. Kjos Music Company,1,(play mvt 1)
251-1-12095,Woodwind Quintet,Quintet in g minor Op. 56 No. 2,Danzi,Weigelt,F.E.C. Leuckart,1,(play mvt 1 or 4)
251-1-12096,Woodwind Quintet,Allegro Giocoso,Dobry,,Shawnee Press,1,
251-1-12097,Woodwind Quintet,Scherzo,Dvorak,Ramm,Medici Music Press,1,
251-1-12098,Woodwind Quintet,Antiche Danze Ungheresi,Farkas,,Editio Musica,1,(play any 3)
251-1-12099,Woodwind Quintet,French Suite,Frackenpohl,,Shawnee Press,1,(play four mvts)
251-1-12100,Woodwind Quintet,Symphonie,Gossec,Poulteau,"Edition Musicus-New York, Inc.",1,
251-2-12101,Woodwind Quintet,Blues Au Vent,Haddad,,Shawnee Press,2,
251-1-12105,Woodwind Quintet,Water Music Suite,Handel,Holcombe,Musicians Publications,1,(play Allegro or Allegro Maestoso plus one other mvt)
251-1-12103,Woodwind Quintet,Suite in Bb Major (from Ross Taylor Quintets),Handel,Taylor,Southern Music Company,1,(play Overture & one other mvt)
251-1-12102,Woodwind Quintet,Air and Variations,Handel,Vollmers,Neil A. Kjos Music Company,1,
251-1-12104,Woodwind Quintet,Suite in g minor,Handel,Vollmers,Neil A. Kjos Music Company,1,
