Code,Event Name,Title,Composer,Arranger,Publisher [Collection],Grade,Specification
230-1-34671,Woodwind Trio,"Trio for Flute, Oboe, & Clarinet",Harris,,Queens Temple Publications,1,"(fl, ob, cl) (play four mvts)"
230-1-11409,Woodwind Trio,Canonic Fugue,Bach,Glasel,Chamber Music Library,1,"(written for ob, cl, bsn - ok to subst fl for ob) (fl, cl, bsn)"
230-1-11410,Woodwind Trio,Variations on the Theme La ci darem la mano,Beethoven,,Musica Rara,1,"(fl, cl, bsn)"
230-1-11411,Woodwind Trio,Petite Trio,Bove,,"Carl Fischer, Inc.",1,"(fl, cl, bsn)"
230-1-11412,Woodwind Trio,Four Miniatures,Cheetham,,Shawnee Press,1,"(play mvts 2, 3 & 4) (fl, cl, bsn)"
230-1-11413,Woodwind Trio,Sonatina,Clementi,Elkan,Henri Elkan,1,"(omit repeats) (fl, cl, bsn)"
230-1-11414,Woodwind Trio,Les Tourbillons,Dandrieu,Seay,Jack Spratt Music Publishers,1,(any published combination)
230-1-11415,Woodwind Trio,Trios Op. 61,Devienne,,Eulenberg,1,"(play two mvts of one trio) (fl, cl, bsn)"
230-1-11416,Woodwind Trio,Canzonetta,Dussek,Elkan,Henri Elkan,1,"(fl, cl, bsn)"
230-1-11417,Woodwind Trio,Concert Suite,Flegier,Voxman,"Rubank, Inc.",1,"(play two mvts) (fl, cl, bsn)"
230-1-11418,Woodwind Trio,Fire Work Music Suite,Handel,Elkan,Henri Elkan,1,"(play two mvts) (fl, cl, bsn)"
230-1-11419,Woodwind Trio,Sonata,Handel,Williams,Southern Music Company,1,"(fl, cl, bsn)"
230-1-11420,Woodwind Trio,Four London Trios,Haydn,Moyse,Southern Music Company,1,"(play two mvts from trio 1 or 3, or all of trio 2 or 4) (fl, cl, bsn)"
230-1-11421,Woodwind Trio,Divertimento in Bb Op. 12a,Kotschau,Voxman,"Rubank, Inc.",1,"(play mvt 1, 4 or 5) (fl, cl, bsn)"
230-1-11422,Woodwind Trio,Trio in F Op. 32,Kummer,Voxman,"Rubank, Inc.",1,"(fl, cl, bsn)"
230-1-11423,Woodwind Trio,Trio,Maxwell,,"Western International Music, Inc.",1,"(play one mvt) (fl, cl, bsn)"
230-1-11424,Woodwind Trio,12 Bagatelles,Mayr,,Edition Kneusslin Basel,1,"(play three mvts) (fl, cl, bsn)"
230-1-11425,Woodwind Trio,Fragments,Muczynski,,Shawnee Press,1,"(play two mvts) (fl, cl, bsn)"
230-1-11426,Woodwind Trio,Trio Op. 80,Peeters,,C.F. Peters Corporation,1,"(fl, cl, bsn)"
230-1-11427,Woodwind Trio,Three Pieces,Piston,,Associated Music Publishers Inc.,1,"(play two mvts) (fl, cl, bsn)"
230-1-11428,Woodwind Trio,Paris 1987,Sung,,Southern Music Company,1,"(play mvts 1 & 3) (fl, cl, bsn)"
230-1-11429,Woodwind Trio,Trio,von Kreisler,,Southern Music Company,1,"(play one mvt) (fl, cl, bsn)"
230-1-11430,Woodwind Trio,Three Pieces for Three Woodwinds,Washburn,,Oxford University Press,1,"(play two) (fl, cl, bsn)"
230-2-11431,Woodwind Trio,Fifteen Three-Part Inventions,Bach,Cochrane,"Cundy-Bettoney Company, Inc.",2,"(play one mvt) (fl, cl, bsn)"
230-2-11434,Woodwind Trio,"Now Awake, We Hear A Voice Cry",Bach,Conley,"Kendor Music, Inc.",2,"(fl, cl, bsn)"
230-2-11432,Woodwind Trio,Little Bach Suite No. 1,Bach,Morsch,Theodore Presser Company,2,"(play two mvts)) (fl, cl, bsn)"
230-2-11433,Woodwind Trio,Little Bach Suite No. 2,Bach,Morsch,Theodore Presser Company,2,"(play two mvts) (fl, cl, bsn)"
230-2-11435,Woodwind Trio,Polonaise,Bach,Williams,Southern Music Company,2,"(fl, cl, bsn)"
